"","Assay","OlinkID","UniProt","Panel","term","df","sumsq","meansq","statistic","p.value","Adjusted_pval","Threshold","Organ","Desc","Desc_Column"
"1","NEFL","OID20871","P07196","Neurology","Timepoint",4,44.1863692028406,11.0465923007101,15.7432494283573,1.06033809865836e-05,0.00780408840612552,"Significant","Tissue enriched: brain","Neurofilament light polypeptide","Tissue_enriched_brain"
"2","PCOLCE","OID20384","Q15113","Cardiometabolic","Timepoint",4,8.2059581462826,2.05148953657065,17.0994493682134,6.00826832533615e-06,0.00780408840612552,"Significant","Low tissue specificity","Procollagen C-endopeptidase enhancer 1","Low_tissue_specificity"
"3","ACE2","OID20105","Q9BYF1","Cardiometabolic","Timepoint",4,40.0390402974493,10.0097600743623,13.0416734154227,3.70056666063766e-05,0.0136180853111466,"Significant","Tissue enhanced: gallbladder, intestine, kidney","Angiotensin-converting enzyme 2","Tissue_enhanced_gallbladder_intestine_kidney"
"4","MDK","OID21489","P21741","Oncology","Timepoint",4,75.0975119851667,18.7743779962917,13.5174896228096,2.93148836862318e-05,0.0136180853111466,"Significant","Tissue enhanced: ovary","Midkine","Tissue_enhanced_ovary"
"5","FRZB","OID20968","Q92765","Neurology","Timepoint",4,19.8802559191667,4.97006397979167,12.06589412951,6.08451112770016e-05,0.0144802473559867,"Significant","Tissue enhanced: retina","Secreted frizzled-related protein 3","Tissue_enhanced_retina"
"6","IL19","OID20158","Q9UHD0","Cardiometabolic","Timepoint",4,25.9518395643623,6.48795989109058,11.8312270765759,6.8859871937437e-05,0.0144802473559867,"Significant","Group enriched: cervix, salivary gland","Interleukin-19","Group_enriched_cervix_salivary_gland"
"7","SFRP1","OID20984","Q8N474","Neurology","Timepoint",4,168.16122557813,42.0403063945326,12.0086408055135,6.27003703666045e-05,0.0144802473559867,"Significant","Tissue enhanced: breast, choroid plexus","Secreted frizzled-related protein 1","Tissue_enhanced_breast_choroid_plexus"
"8","PTN","OID20083","P21246","Cardiometabolic","Timepoint",4,131.617161320449,32.9042903301123,11.3304384417179,9.01871462980365e-05,0.0165944349188387,"Significant","Tissue enhanced: brain, parathyroid gland","Pleiotrophin","Tissue_enhanced_brain_parathyroid_gland"
"9","FGFBP1","OID21507","Q14512","Oncology","Timepoint",4,90.3292600692536,22.5823150173134,10.7619625504189,0.000123734391507004,0.0202374471442567,"Significant","Tissue enhanced: esophagus, vagina","Fibroblast growth factor-binding protein 1","Tissue_enhanced_esophagus_vagina"
"10","SDC1","OID20169","P18827","Cardiometabolic","Timepoint",4,61.2937529251957,15.3234382312989,10.1079383339478,0.000180552071889101,0.0265772649820756,"Significant","Tissue enhanced: esophagus, liver, skin 1","Syndecan-1","Tissue_enhanced_esophagus_liver_skin_1"
"11","SMOC2","OID20730","Q9H3U7","Inflammation","Timepoint",4,6.07974807044928,1.51993701761232,9.86332935534857,0.000208814340176042,0.0279431553399212,"Significant","Low tissue specificity","SPARC-related modular calcium-binding protein 2","Low_tissue_specificity"
"12","SMOC1","OID21461","Q9H4F8","Oncology","Timepoint",4,48.5778728571884,12.1444682142971,9.17080718557689,0.000319287969292225,0.0391659908998462,"Significant","Tissue enhanced: brain, liver","SPARC-related modular calcium-binding protein 1","Tissue_enhanced_brain_liver"
"13","CLC","OID20126","Q05315","Cardiometabolic","Timepoint",4,11.363195509058,2.84079887726449,8.93192945542189,0.000371381926606452,0.0420518612280537,"Significant","Tissue enriched: bone marrow","Galectin-10","Tissue_enriched_bone_marrow"
