"","BMI","Age","Significant.Protein.elevation","Mode"
"1","0-underweight","20-34yrs",0,"Train"
"2","0-underweight","20-34yrs",0,"Validation"
"3","1-normal","20-34yrs",0,"Train"
"4","1-normal","20-34yrs",0,"Validation"
"5","2-overweight","20-34yrs",0,"Train"
"6","2-overweight","20-34yrs",0,"Validation"
"7","3-obese","20-34yrs",0,"Train"
"8","3-obese","20-34yrs",0,"Validation"
"9","4-severely obese","20-34yrs",0,"Train"
"10","4-severely obese","20-34yrs",0,"Validation"
"11","0-underweight","35-49yrs",0,"Train"
"12","0-underweight","35-49yrs",0,"Validation"
"13","1-normal","35-49yrs",0,"Train"
"14","1-normal","35-49yrs",0,"Validation"
"15","2-overweight","35-49yrs",0,"Train"
"16","2-overweight","35-49yrs",0,"Validation"
"17","3-obese","35-49yrs",0,"Train"
"18","3-obese","35-49yrs",0,"Validation"
"19","4-severely obese","35-49yrs",0,"Train"
"20","4-severely obese","35-49yrs",0,"Validation"
"21","0-underweight","50-64yrs",0,"Train"
"22","0-underweight","50-64yrs",0,"Validation"
"23","1-normal","50-64yrs",0,"Train"
"24","1-normal","50-64yrs",0,"Validation"
"25","2-overweight","50-64yrs",0,"Train"
"26","2-overweight","50-64yrs",0,"Validation"
"27","3-obese","50-64yrs",0,"Train"
"28","3-obese","50-64yrs",0,"Validation"
"29","4-severely obese","50-64yrs",0,"Train"
"30","4-severely obese","50-64yrs",0,"Validation"
"31","0-underweight","65-79yrs",0,"Train"
"32","0-underweight","65-79yrs",0,"Validation"
"33","1-normal","65-79yrs",0,"Train"
"34","1-normal","65-79yrs",0,"Validation"
"35","2-overweight","65-79yrs",0,"Train"
"36","2-overweight","65-79yrs",0,"Validation"
"37","3-obese","65-79yrs",0,"Train"
"38","3-obese","65-79yrs",0,"Validation"
"39","4-severely obese","65-79yrs",0,"Train"
"40","4-severely obese","65-79yrs",0,"Validation"
"41","0-underweight","80+yrs",0,"Train"
"42","0-underweight","80+yrs",0,"Validation"
"43","1-normal","80+yrs",0,"Train"
"44","1-normal","80+yrs",0,"Validation"
"45","2-overweight","80+yrs",0,"Train"
"46","2-overweight","80+yrs",0,"Validation"
"47","3-obese","80+yrs",0,"Train"
"48","3-obese","80+yrs",0,"Validation"
"49","4-severely obese","80+yrs",0,"Train"
"50","4-severely obese","80+yrs",0,"Validation"
