,Group_enriched_adipose_tissue_brain_ovary,Group_enriched_adipose_tissue_breast,Group_enriched_adrenal_gland_pituitary_gland_placenta,Group_enriched_bone_marrow_lung_lymphoid_tissue,Group_enriched_bone_marrow_lymphoid_tissue,Group_enriched_brain_testis,Group_enriched_esophagus_parathyroid_gland,Group_enriched_fallopian_tube_lung,Group_enriched_intestine_kidney,Group_enriched_intestine_lymphoid_tissue,Group_enriched_intestine_pancreas,Low_tissue_specificity,Not_detected,Tissue_enhanced_adipose_tissue,Tissue_enhanced_adipose_tissue_breast_placenta,Tissue_enhanced_adipose_tissue_cervix,Tissue_enhanced_adipose_tissue_skin_1,Tissue_enhanced_adrenal_gland_brain_pancreas,Tissue_enhanced_bone_marrow,Tissue_enhanced_bone_marrow_lung_lymphoid_tissue,Tissue_enhanced_bone_marrow_lymphoid_tissue,Tissue_enhanced_brain,Tissue_enhanced_brain_choroid_plexus_lung,Tissue_enhanced_brain_heart_muscle_testis,Tissue_enhanced_brain_parathyroid_gland,Tissue_enhanced_brain_skeletal_muscle_tongue,Tissue_enhanced_brain_smooth_muscle_urinary_bladder,Tissue_enhanced_breast_choroid_plexus,Tissue_enhanced_breast_fallopian_tube_pancreas,Tissue_enhanced_cervix,Tissue_enhanced_cervix_endometrium_1_smooth_muscle,Tissue_enhanced_cervix_gallbladder,Tissue_enhanced_endometrium_1_smooth_muscle,Tissue_enhanced_esophagus,Tissue_enhanced_esophagus_liver_skin_1,Tissue_enhanced_esophagus_lymphoid_tissue_vagina,Tissue_enhanced_esophagus_skin_1_vagina,Tissue_enhanced_gallbladder,Tissue_enhanced_gallbladder_intestine_kidney,Tissue_enhanced_intestine_salivary_gland,Tissue_enhanced_intestine_urinary_bladder,Tissue_enhanced_kidney_liver,Tissue_enhanced_liver,Tissue_enhanced_lung_urinary_bladder,Tissue_enhanced_lymphoid_tissue,Tissue_enhanced_lymphoid_tissue_ovary,Tissue_enhanced_lymphoid_tissue_smooth_muscle,Tissue_enhanced_ovary,Tissue_enhanced_pancreas,Tissue_enhanced_placenta,Tissue_enhanced_salivary_gland_skin_1,Tissue_enhanced_skeletal_muscle,Tissue_enhanced_skeletal_muscle_tongue,Tissue_enhanced_skin_1,Tissue_enhanced_smooth_muscle,Tissue_enhanced_tongue,Tissue_enriched_bone_marrow,Tissue_enriched_brain,Tissue_enriched_epididymis,Tissue_enriched_heart_muscle,Tissue_enriched_intestine,Tissue_enriched_kidney,Tissue_enriched_liver,Tissue_enriched_lung,Tissue_enriched_lymphoid_tissue,Tissue_enriched_placenta,Age,BMI
0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2,3
1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,3
2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2,3
3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,3
4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,3
5,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,3
6,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,3
7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,3
8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,3
9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,3
10,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,3
