,0
0,BIN2
1,SOD2
2,MESD
3,CEP85
4,ENTPD2
5,TACC3
6,PRKRA
7,DOK2
8,TGFB1
9,PPP1R9B
10,CHRDL2
11,FRZB
12,KLRD1
13,FLI1
14,CRACR2A
15,EDIL3
16,RTN4R
17,DIABLO
18,GNE
19,ARHGAP25
20,GRPEL1
21,MITD1
22,FOXO1
23,ADAMTS8
24,IPCEF1
25,PSMA1
26,TDRKH
27,CXCL3
28,GOPC
29,MTPN
30,CD163
31,TRIM5
32,IGSF3
33,ITGB1BP2
34,IFNGR1
35,TST
36,PAEP
37,TIA1
38,DRG2
39,CEP20
40,MMP3
41,HS6ST1
42,CXCL10
43,STX8
44,GRK5
45,SMAD5
46,BID
47,CPXM1
48,AKT1S1
49,LILRB2
50,APP
51,ANXA5
52,CDH5
53,ITGA11
54,GKN1
55,TREM2
56,RSPO1
57,KLRB1
58,SNCG
59,PLIN3
60,CD99L2
61,ACAA1
62,CLEC14A
63,LRRN1
64,ASAH2
65,VEGFC
66,ANXA11
67,SDC1
68,REG1A
69,CLSTN2
70,SCARB2
71,GYS1
72,FGF23
73,CD276
74,TFF1
75,ARHGEF12
76,GPC1
77,TNFRSF9
78,PRKAR1A
79,VCAN
80,DBI
81,PECAM1
82,SRPK2
83,SFRP1
84,DEFA1_DEFA1B
85,NCK2
86,AIFM1
87,EFNA1
88,PCDH17
89,KITLG
90,IGFBP4
91,PILRB
92,IL12RB1
93,MMP12
94,MATN2
95,ANGPTL3
96,IL32
97,CGREF1
98,RHOC
99,ROBO1
100,MGLL
101,SPON2
102,CCL23
103,USO1
104,DLL1
105,SIAE
106,NTproBNP
107,FGFR2
108,CRELD2
109,PLXNA4
110,MMP1
111,STAT5B
112,CD27
113,NCR1
114,TNFSF13
115,CHRDL1
116,RETN
117,MEGF10
118,IL18BP
119,GDF15
120,TNFRSF8
121,PLA2G1B
122,TNFRSF10B
123,CLPP
124,SERPINE1
125,COX5B
126,PPIB
127,TARBP2
128,TNFRSF6B
129,LYN
130,CCL18
131,IL10RB
132,NPDC1
133,LAIR1
134,ACP5
135,PODXL
136,AKT3
137,ITGB6
138,LBR
139,FLT3LG
140,NT5E
141,ATP5IF1
142,TIMD4
143,COL1A1
144,VSIG4
145,C2CD2L
146,CNPY4
147,DEFB4A_DEFB4B
148,PTPN1
149,LTBR
150,LPL
151,MMP7
152,CDH1
153,FETUB
154,SFTPD
155,DDC
156,DCN
157,BAIAP2
158,CLEC7A
159,CST7
160,VAMP5
161,CDSN
162,CRTAC1
163,RBP2
164,FCAR
165,CA5A
166,CCN1
167,AXL
168,CDKN2D
169,PLA2G4A
170,BTN2A1
171,IFNG
172,COMT
173,HAVCR2
174,SERPINA12
175,ANXA3
176,BMP6
177,JAM2
178,PIGR
179,ADAM23
180,S100A11
181,CST6
182,GZMB
183,CPB1
184,SIGLEC10
185,PGF
186,TIMP1
187,IDI2
188,CLEC4C
189,AGRP
190,SLAMF1
191,PON3
192,SORCS2
193,DNAJA2
194,EPS8L2
195,EFNA4
196,TYRO3
197,MILR1
198,S100P
199,ICAM1
200,TAFA5
201,IL7R
202,ICAM5
203,HSPB6
204,VMO1
205,LAYN
206,TREML2
207,FXN
208,CA12
209,ADAMTS13
210,CPA1
