,0
0,TNFRSF13C
1,CSTB
2,IPCEF1
3,SCRN1
4,HCLS1
5,HS6ST1
6,AFP
7,HSPB6
8,ESAM
9,B4GAT1
10,COL18A1
11,CD40
12,CLEC5A
13,NPPC
14,CLEC6A
15,GOPC
16,BAIAP2
17,TJAP1
18,BAX
19,FXN
20,VEGFD
21,NOTCH3
22,CORO1A
23,ACAN
24,CD109
25,TNFRSF4
26,CEP43
27,CRTAC1
28,SCARB2
29,CNPY4
30,PRDX5
31,HGF
32,CD276
33,CXCL3
34,TGFA
35,ENG
36,CC2D1A
37,CD274
38,GZMA
39,MSR1
40,RBP5
41,SPON2
42,CD84
43,SH2D1A
44,RARRES1
45,PPP1R12A
46,KITLG
47,SCARF2
48,CALCA
49,DPP10
50,CDNF
51,FOXO1
52,MZT1
53,NECTIN2
54,TXLNA
55,FYB1
56,GAS6
57,AXL
58,MANSC1
59,APBB1IP
60,PROC
61,PTK7
62,CDCP1
63,GZMH
64,MME
65,LCN2
66,CSF3
67,SERPINA12
68,COL6A3
69,RARRES2
70,TNFRSF10A
71,ESM1
72,CCL11
73,CHMP1A
74,ADAM23
75,VSIG4
76,GALNT2
77,DIABLO
78,CDC27
79,EREG
80,TNFRSF14
81,VEGFC
82,BOC
83,CD28
84,KLK11
85,ITGA5
86,IL17D
87,ADAMTS13
88,CHGB
89,TNFRSF1A
90,PAEP
91,AMIGO2
92,TXNDC5
93,CD300LG
94,REG1B
95,MSLN
96,IL6
97,ROBO2
98,BAG3
99,GP1BA
100,PRKAR1A
101,CCN5
102,TYRO3
103,PRL
104,LDLR
105,OMD
106,APLP1
107,QPCT
108,VASN
109,MAP4K5
110,CA13
111,CRKL
112,PECAM1
113,PADI2
114,CLEC1B
115,MCAM
116,NTproBNP
117,CGREF1
118,CCL21
119,ASGR1
120,DSC2
121,CCL17
122,SULT1A1
123,PCOLCE
124,ADAM22
125,HYOU1
126,PIK3IP1
127,SLAMF8
128,PFKFB2
129,DLK1
130,AREG
131,PIGR
132,USP8
133,TEK
134,MTPN
135,BPIFB1
136,TNFRSF10B
137,PTH1R
138,MANF
139,RASSF2
140,CDHR2
141,CEACAM8
142,CST6
143,GPC1
144,TNFRSF9
145,EDAR
146,NECTIN4
147,CNST
148,LGMN
149,HNRNPK
