,0
0,CD40
1,NPPC
2,NOTCH3
3,ACAN
4,CD109
5,CD276
6,ENG
7,CDNF
8,MANSC1
9,ESM1
10,CCL11
11,ADAM23
12,BOC
13,CD28
14,ITGA5
15,IL17D
16,CHGB
17,PAEP
18,ROBO2
19,CCN5
20,TYRO3
21,OMD
22,VASN
23,PECAM1
24,CCL17
25,SLAMF8
26,TEK
27,CCN2
28,ADA2
29,CLEC7A
30,SCARA5
31,LAT
32,IGF2R
33,EFEMP1
34,DCBLD2
35,TNFRSF8
36,ACTA2
37,KLRB1
38,KIRREL2
39,DNER
40,BGN
41,CCL13
42,CLEC14A
43,PCDH17
44,SCP2
45,CCDC80
46,CDH6
47,IL6ST
48,CDH5
49,LRP11
50,DCN
51,ANPEP
52,IL18
53,PRTG
54,ASAH2
55,LAIR1
56,RTBDN
57,CD99
58,DRAXIN
59,DDX58
