"","Tissue","Total","Organ_Count","Tissue_Count","Split","Model"
"1","Group enriched: adipose tissue, brain, ovary",1,1,"1-Group enriched: adipose tissue, brain, ovary","70%-30%","Deep"
"2","Group enriched: bone marrow, brain, lymphoid tissue, thyroid gland",1,2,"2-Group enriched: bone marrow, brain, lymphoid tissue, thyroid gland","70%-30%","Deep"
"3","Group enriched: bone marrow, lung, lymphoid tissue",3,3,"3-Group enriched: bone marrow, lung, lymphoid tissue","70%-30%","Deep"
"4","Group enriched: bone marrow, lymphoid tissue",1,4,"4-Group enriched: bone marrow, lymphoid tissue","70%-30%","Deep"
"5","Group enriched: bone marrow, skeletal muscle",1,5,"5-Group enriched: bone marrow, skeletal muscle","70%-30%","Deep"
"6","Group enriched: brain, choroid plexus",1,6,"6-Group enriched: brain, choroid plexus","70%-30%","Deep"
"7","Group enriched: brain, epididymis",1,7,"7-Group enriched: brain, epididymis","70%-30%","Deep"
"8","Group enriched: heart muscle, skeletal muscle, tongue",1,8,"8-Group enriched: heart muscle, skeletal muscle, tongue","70%-30%","Deep"
"9","Group enriched: intestine, kidney, retina",1,9,"9-Group enriched: intestine, kidney, retina","70%-30%","Deep"
"10","Group enriched: intestine, liver, salivary gland",1,10,"10-Group enriched: intestine, liver, salivary gland","70%-30%","Deep"
"11","Group enriched: kidney, liver",1,11,"11-Group enriched: kidney, liver","70%-30%","Deep"
"12","Group enriched: lymphoid tissue, testis",1,12,"12-Group enriched: lymphoid tissue, testis","70%-30%","Deep"
"13","Low tissue specificity",66,13,"13-Low tissue specificity","70%-30%","Deep"
"14","Tissue enhanced: adipose tissue",1,14,"14-Tissue enhanced: adipose tissue","70%-30%","Deep"
"15","Tissue enhanced: adipose tissue, brain",1,15,"15-Tissue enhanced: adipose tissue, brain","70%-30%","Deep"
"16","Tissue enhanced: adipose tissue, cervix",1,16,"16-Tissue enhanced: adipose tissue, cervix","70%-30%","Deep"
"17","Tissue enhanced: adipose tissue, heart muscle",1,17,"17-Tissue enhanced: adipose tissue, heart muscle","70%-30%","Deep"
"18","Tissue enhanced: adipose tissue, seminal vesicle",1,18,"18-Tissue enhanced: adipose tissue, seminal vesicle","70%-30%","Deep"
"19","Tissue enhanced: adrenal gland, brain",1,19,"19-Tissue enhanced: adrenal gland, brain","70%-30%","Deep"
"20","Tissue enhanced: bone marrow",3,20,"20-Tissue enhanced: bone marrow","70%-30%","Deep"
"21","Tissue enhanced: bone marrow, intestine, salivary gland",1,21,"21-Tissue enhanced: bone marrow, intestine, salivary gland","70%-30%","Deep"
"22","Tissue enhanced: bone marrow, lymphoid tissue",5,22,"22-Tissue enhanced: bone marrow, lymphoid tissue","70%-30%","Deep"
"23","Tissue enhanced: bone marrow, lymphoid tissue, testis",1,23,"23-Tissue enhanced: bone marrow, lymphoid tissue, testis","70%-30%","Deep"
"24","Tissue enhanced: bone marrow, stomach 1, urinary bladder",1,24,"24-Tissue enhanced: bone marrow, stomach 1, urinary bladder","70%-30%","Deep"
"25","Tissue enhanced: brain",6,25,"25-Tissue enhanced: brain","70%-30%","Deep"
"26","Tissue enhanced: brain, choroid plexus",1,26,"26-Tissue enhanced: brain, choroid plexus","70%-30%","Deep"
"27","Tissue enhanced: brain, choroid plexus, lung",1,27,"27-Tissue enhanced: brain, choroid plexus, lung","70%-30%","Deep"
"28","Tissue enhanced: brain, fallopian tube, lung, seminal vesicle",1,28,"28-Tissue enhanced: brain, fallopian tube, lung, seminal vesicle","70%-30%","Deep"
"29","Tissue enhanced: brain, liver",1,29,"29-Tissue enhanced: brain, liver","70%-30%","Deep"
"30","Tissue enhanced: brain, lung, lymphoid tissue",1,30,"30-Tissue enhanced: brain, lung, lymphoid tissue","70%-30%","Deep"
"31","Tissue enhanced: brain, ovary",1,31,"31-Tissue enhanced: brain, ovary","70%-30%","Deep"
"32","Tissue enhanced: brain, parathyroid gland",1,32,"32-Tissue enhanced: brain, parathyroid gland","70%-30%","Deep"
"33","Tissue enhanced: brain, salivary gland",1,33,"33-Tissue enhanced: brain, salivary gland","70%-30%","Deep"
"34","Tissue enhanced: breast, choroid plexus",1,34,"34-Tissue enhanced: breast, choroid plexus","70%-30%","Deep"
"35","Tissue enhanced: cervix, endometrium 1",1,35,"35-Tissue enhanced: cervix, endometrium 1","70%-30%","Deep"
"36","Tissue enhanced: cervix, endometrium 1, smooth muscle",1,36,"36-Tissue enhanced: cervix, endometrium 1, smooth muscle","70%-30%","Deep"
"37","Tissue enhanced: cervix, gallbladder",1,37,"37-Tissue enhanced: cervix, gallbladder","70%-30%","Deep"
"38","Tissue enhanced: cervix, retina",1,38,"38-Tissue enhanced: cervix, retina","70%-30%","Deep"
"39","Tissue enhanced: endometrium 1",1,39,"39-Tissue enhanced: endometrium 1","70%-30%","Deep"
"40","Tissue enhanced: endometrium 1, gallbladder, lymphoid tissue, smooth muscle",1,40,"40-Tissue enhanced: endometrium 1, gallbladder, lymphoid tissue, smooth muscle","70%-30%","Deep"
"41","Tissue enhanced: esophagus",2,41,"41-Tissue enhanced: esophagus","70%-30%","Deep"
"42","Tissue enhanced: esophagus, liver, skin 1",1,42,"42-Tissue enhanced: esophagus, liver, skin 1","70%-30%","Deep"
"43","Tissue enhanced: gallbladder",1,43,"43-Tissue enhanced: gallbladder","70%-30%","Deep"
"44","Tissue enhanced: gallbladder, liver, placenta, urinary bladder",1,44,"44-Tissue enhanced: gallbladder, liver, placenta, urinary bladder","70%-30%","Deep"
"45","Tissue enhanced: gallbladder, salivary gland, urinary bladder",1,45,"45-Tissue enhanced: gallbladder, salivary gland, urinary bladder","70%-30%","Deep"
"46","Tissue enhanced: gallbladder, stomach 1, urinary bladder",1,46,"46-Tissue enhanced: gallbladder, stomach 1, urinary bladder","70%-30%","Deep"
"47","Tissue enhanced: heart muscle, skeletal muscle, tongue",1,47,"47-Tissue enhanced: heart muscle, skeletal muscle, tongue","70%-30%","Deep"
"48","Tissue enhanced: intestine",1,48,"48-Tissue enhanced: intestine","70%-30%","Deep"
"49","Tissue enhanced: intestine, lymphoid tissue, urinary bladder",1,49,"49-Tissue enhanced: intestine, lymphoid tissue, urinary bladder","70%-30%","Deep"
"50","Tissue enhanced: intestine, salivary gland",1,50,"50-Tissue enhanced: intestine, salivary gland","70%-30%","Deep"
"51","Tissue enhanced: kidney",1,51,"51-Tissue enhanced: kidney","70%-30%","Deep"
"52","Tissue enhanced: kidney, skin 1",1,52,"52-Tissue enhanced: kidney, skin 1","70%-30%","Deep"
"53","Tissue enhanced: kidney, urinary bladder",1,53,"53-Tissue enhanced: kidney, urinary bladder","70%-30%","Deep"
