"","Tissue","Total","Organ_Count","Tissue_Count","Split","Model"
"1","Group enriched: adrenal gland, pituitary gland",1,1,"1-Group enriched: adrenal gland, pituitary gland","70%-30%","RakelD"
"2","Group enriched: brain, gallbladder",1,2,"2-Group enriched: brain, gallbladder","70%-30%","RakelD"
"3","Group enriched: brain, skeletal muscle",1,3,"3-Group enriched: brain, skeletal muscle","70%-30%","RakelD"
"4","Group enriched: intestine, liver",1,4,"4-Group enriched: intestine, liver","70%-30%","RakelD"
"5","Low tissue specificity",14,5,"5-Low tissue specificity","70%-30%","RakelD"
"6","Tissue enhanced: adipose tissue, seminal vesicle",1,6,"6-Tissue enhanced: adipose tissue, seminal vesicle","70%-30%","RakelD"
"7","Tissue enhanced: bone marrow, lung, lymphoid tissue",1,7,"7-Tissue enhanced: bone marrow, lung, lymphoid tissue","70%-30%","RakelD"
"8","Tissue enhanced: brain",1,8,"8-Tissue enhanced: brain","70%-30%","RakelD"
"9","Tissue enhanced: brain, fallopian tube, retina",1,9,"9-Tissue enhanced: brain, fallopian tube, retina","70%-30%","RakelD"
"10","Tissue enhanced: brain, parathyroid gland",1,10,"10-Tissue enhanced: brain, parathyroid gland","70%-30%","RakelD"
"11","Tissue enhanced: brain, skin 1",1,11,"11-Tissue enhanced: brain, skin 1","70%-30%","RakelD"
"12","Tissue enhanced: esophagus",1,12,"12-Tissue enhanced: esophagus","70%-30%","RakelD"
"13","Tissue enhanced: intestine, pancreas, salivary gland, stomach 1",1,13,"13-Tissue enhanced: intestine, pancreas, salivary gland, stomach 1","70%-30%","RakelD"
"14","Tissue enhanced: intestine, parathyroid gland",1,14,"14-Tissue enhanced: intestine, parathyroid gland","70%-30%","RakelD"
"15","Tissue enhanced: lymphoid tissue",1,15,"15-Tissue enhanced: lymphoid tissue","70%-30%","RakelD"
"16","Tissue enhanced: placenta",1,16,"16-Tissue enhanced: placenta","70%-30%","RakelD"
"17","Tissue enhanced: skeletal muscle",2,17,"17-Tissue enhanced: skeletal muscle","70%-30%","RakelD"
"18","Tissue enhanced: skin 1",1,18,"18-Tissue enhanced: skin 1","70%-30%","RakelD"
"19","Tissue enriched: bone marrow",2,19,"19-Tissue enriched: bone marrow","70%-30%","RakelD"
"20","Tissue enriched: brain",1,20,"20-Tissue enriched: brain","70%-30%","RakelD"
"21","Tissue enriched: endometrium 1",1,21,"21-Tissue enriched: endometrium 1","70%-30%","RakelD"
"22","Tissue enriched: liver",1,22,"22-Tissue enriched: liver","70%-30%","RakelD"
"23","Tissue enriched: lung",1,23,"23-Tissue enriched: lung","70%-30%","RakelD"
"24","Tissue enriched: skin 1",1,24,"24-Tissue enriched: skin 1","70%-30%","RakelD"
