"","Tissue","Total","Organ_Count","Tissue_Count","Split","Model"
"1","Group enriched: bone marrow, lung, lymphoid tissue",2,1,"1-Group enriched: bone marrow, lung, lymphoid tissue","60%-40%","SVM"
"2","Group enriched: fallopian tube, lung",1,2,"2-Group enriched: fallopian tube, lung","60%-40%","SVM"
"3","Group enriched: intestine, lymphoid tissue",1,3,"3-Group enriched: intestine, lymphoid tissue","60%-40%","SVM"
"4","Group enriched: kidney, liver",1,4,"4-Group enriched: kidney, liver","60%-40%","SVM"
"5","Low tissue specificity",13,5,"5-Low tissue specificity","60%-40%","SVM"
"6","Tissue enhanced: adipose tissue, cervix",1,6,"6-Tissue enhanced: adipose tissue, cervix","60%-40%","SVM"
"7","Tissue enhanced: bone marrow",1,7,"7-Tissue enhanced: bone marrow","60%-40%","SVM"
"8","Tissue enhanced: bone marrow, lymphoid tissue",1,8,"8-Tissue enhanced: bone marrow, lymphoid tissue","60%-40%","SVM"
"9","Tissue enhanced: bone marrow, urinary bladder",1,9,"9-Tissue enhanced: bone marrow, urinary bladder","60%-40%","SVM"
"10","Tissue enhanced: brain, gallbladder, kidney, placenta",1,10,"10-Tissue enhanced: brain, gallbladder, kidney, placenta","60%-40%","SVM"
"11","Tissue enhanced: brain, salivary gland",1,11,"11-Tissue enhanced: brain, salivary gland","60%-40%","SVM"
"12","Tissue enhanced: brain, skeletal muscle, tongue",1,12,"12-Tissue enhanced: brain, skeletal muscle, tongue","60%-40%","SVM"
"13","Tissue enhanced: cervix, placenta, urinary bladder",1,13,"13-Tissue enhanced: cervix, placenta, urinary bladder","60%-40%","SVM"
"14","Tissue enhanced: endometrium 1",1,14,"14-Tissue enhanced: endometrium 1","60%-40%","SVM"
"15","Tissue enhanced: esophagus",1,15,"15-Tissue enhanced: esophagus","60%-40%","SVM"
"16","Tissue enhanced: intestine, lymphoid tissue, stomach 1, urinary bladder",1,16,"16-Tissue enhanced: intestine, lymphoid tissue, stomach 1, urinary bladder","60%-40%","SVM"
"17","Tissue enhanced: intestine, urinary bladder",1,17,"17-Tissue enhanced: intestine, urinary bladder","60%-40%","SVM"
"18","Tissue enhanced: kidney, skin 1",1,18,"18-Tissue enhanced: kidney, skin 1","60%-40%","SVM"
"19","Tissue enhanced: liver",1,19,"19-Tissue enhanced: liver","60%-40%","SVM"
"20","Tissue enhanced: lung",1,20,"20-Tissue enhanced: lung","60%-40%","SVM"
"21","Tissue enhanced: lymphoid tissue",5,21,"21-Tissue enhanced: lymphoid tissue","60%-40%","SVM"
"22","Tissue enhanced: placenta",2,22,"22-Tissue enhanced: placenta","60%-40%","SVM"
"23","Tissue enhanced: skeletal muscle, tongue",1,23,"23-Tissue enhanced: skeletal muscle, tongue","60%-40%","SVM"
"24","Tissue enriched: adrenal gland",1,24,"24-Tissue enriched: adrenal gland","60%-40%","SVM"
"25","Tissue enriched: brain",3,25,"25-Tissue enriched: brain","60%-40%","SVM"
"26","Tissue enriched: intestine",1,26,"26-Tissue enriched: intestine","60%-40%","SVM"
"27","Tissue enriched: liver",3,27,"27-Tissue enriched: liver","60%-40%","SVM"
"28","Tissue enriched: lymphoid tissue",2,28,"28-Tissue enriched: lymphoid tissue","60%-40%","SVM"
"29","Tissue enriched: pancreas",4,29,"29-Tissue enriched: pancreas","60%-40%","SVM"
"30","Tissue enriched: stomach 1",1,30,"30-Tissue enriched: stomach 1","60%-40%","SVM"
