,0
0,GP1BA
1,ADAM8
2,PDGFRA
3,MMP12
4,BAX
5,CNTN1
6,EDIL3
7,MNDA
8,STX4
9,CPA2
10,DSG2
11,CDH5
12,ANGPTL1
13,NRP1
14,PRDX3
15,VSIG4
16,ADAM23
17,VASN
18,CRACR2A
19,ANXA5
20,SLITRK6
21,FLI1
22,CPM
23,TGFBR3
24,HAO1
25,BSG
26,ICOSLG
27,TMSB10
28,SMOC2
29,SORT1
30,IGFBP7
31,COL4A1
32,ISLR2
33,PRKRA
34,CD40LG
35,IL6R
36,CEP20
37,PMVK
38,GGT1
39,AMBP
40,BID
41,ARHGAP25
42,TXLNA
43,PSG1
44,DPT
45,IFNLR1
46,TDRKH
47,TACSTD2
48,DAPP1
49,PHOSPHO1
50,CDHR2
51,BRK1
52,INPP1
53,CNPY4
54,SMPDL3A
55,IL15RA
56,CBLN4
57,PTK7
58,CLIP2
59,ITGB6
60,AXL
61,RNASE3
62,SOD2
63,KAZALD1
64,TFPI
65,PAG1
66,SUSD1
67,ATP5IF1
68,TGFB1
69,CCL8
70,GYS1
71,PTPN1
72,EFEMP1
73,LAG3
74,ADM
75,GNLY
76,CD69
77,SSC5D
78,SEZ6L2
79,PPIB
80,TACC3
81,IGFBP6
82,BMP6
83,RETN
84,TGFA
85,REG1A
86,SIGLEC9
87,ANXA11
88,CLEC10A
89,MZT1
90,GKN1
91,VNN2
92,CDKN1A
93,ROBO1
94,EPHB6
95,CA1
96,RGMA
97,ACTN4
98,VCAM1
99,IL18BP
100,TIMD4
101,PVALB
102,MSMB
103,MEGF10
104,TNFSF14
105,ABL1
106,GRN
107,DLL1
108,CLEC1B
109,PPP1R9B
110,LDLR
111,ANXA4
112,MED18
113,CFC1
114,OPTC
115,GCNT1
116,IL2RA
117,CALB1
118,PON3
119,MME
120,EGFL7
121,PTS
122,MUC16
123,LRPAP1
124,CLMP
125,FOXO1
126,PPP3R1
127,IL1R2
128,TRIAP1
129,TARBP2
130,CC2D1A
131,XCL1
132,ATP6AP2
133,ROBO2
134,TBL1X
135,SIRPB1
136,CSF1
137,CD33
138,ACP5
139,TREM2
140,SNAP23
141,CPA1
142,ENG
143,DOK2
144,FAM3B
145,METAP1D
146,GALNT2
147,LAP3
148,ESM1
149,LRRC25
150,AIFM1
151,CCL3
152,WIF1
153,BTC
154,PKLR
155,NPDC1
156,MSR1
157,P4HB
158,SIRPA
159,IL17D
160,ADAMTS8
161,ALCAM
162,DBI
163,FRZB
164,RTN4R
165,NOTCH3
166,SRPK2
167,CD300LF
168,PFKFB2
169,MMP1
170,FGF23
171,LXN
172,RABEPK
173,NCK2
174,MFAP5
175,PGLYRP1
176,CXCL6
177,CD74
178,CLEC4A
179,SERPINA9
180,LGALS1
181,PLAUR
182,CD59
183,IL6ST
184,PTH1R
185,MZB1
186,ADA2
187,CASP2
188,CEACAM8
189,OGN
190,SPOCK1
191,CCL23
192,FGFR2
193,MANF
194,HMOX2
195,MPIG6B
196,NDUFS6
197,FASLG
198,IQGAP2
199,LRIG1
200,CCL22
201,CKAP4
202,VAMP5
203,NID1
204,LAT
205,GDNF
206,ADAMTS13
207,TNFSF11
208,DBNL
209,ADAMTS15
210,ODAM
211,CRIM1
212,BCAM
213,CHGB
214,CST3
215,GZMA
216,F11R
217,SFTPD
218,EIF4G1
219,CDCP1
220,KLK11
221,CLEC4D
222,SELP
223,ENAH
224,CA6
225,THBS2
226,DRAXIN
227,CCN2
228,OMD
229,NUCB2
230,TFF2
231,ITGB1BP1
232,IL4R
233,GFRA2
234,ACTA2
235,TNFRSF21
236,CD274
237,TXNDC5
238,ACAA1
239,ASGR1
240,CLEC7A
241,AGR3
242,IL17RB
243,CCN3
244,LILRB2
245,INPPL1
246,JCHAIN
247,DAG1
248,CHI3L1
