"","Split","Model","Tissue","Significant proteins","Ranking"
"125","60%-40%","ClassifierChains","Not detected","IFNL1",1
"126","60%-40%","ClassifierChains","Low tissue specificity","DDX58",1
"4","60%-40%","Deep","Low tissue specificity","ABHD14B, ABL1, ACP6, ADAM15, AMFR, AMIGO2, APP, ARHGEF12, ARSB, ATOX1, ATP5IF1, AXIN1, AXL, BAIAP2, BCL2L11, BCR, BOC, BSG, BTN2A1, CAPG, CASP2, CCN1, CCN4, CD276, CD40, CD46, CD58, CD59, CD99, CLEC14A, CNPY4, CNST, CTSB, CTSF, CXADR, CXCL16, DAG1, DBI, DCBLD2, DDR1, DDX58, DIABLO, DNMBP, DPT, EDA2R, EGFL7, EPHB4, ESAM, F11R, FAS, FGF2, FLT3LG, FOXO3, FSTL3, GAS6, GOPC, HS6ST1, IFNGR1, IGF1R, IGFBP4, IGFBP6, IKBKG, IL10RB, INPP1, INPPL1, ITGAV, KIFBP, LAMA4, LGALS1, LRP11, LTBR, LY96, MATN2, MAVS, MESD, METAP1D, MITD1, MPI, MTPN, MZT1, NCK2, NECTIN2, NOTCH3, NPDC1, NRP1, NRP2, NUDT2, PDP1, PIK3IP1, PLTP, PMVK, PPIB, PPP1R12A, PRCP, PRDX5, PRKRA, PTPN1, RGMB, RHOC, SCAMP3, SCARF2, SELP, SERPINB6, SKAP2, SMOC2, SNAP23, SPINT2, STX4, TBC1D23, TBC1D5, TBCC, TGFB1, TGFBR3, THBS2, TIE1, TIMP3, TJAP1, TMSB10, TNFRSF10A, TNFRSF10B, TNFRSF12A, TNFRSF14, TNFRSF1A, TNFSF12, TRIM5, TXLNA, USP8, UXS1, VEGFA, WWP2, YTHDF3",131
"11","60%-40%","Deep","lymphoid tissue","ADA2, APBB1IP, ARHGAP25, C1QA, CCL14, CCL17, CCL21, CD160, CD163, CD27, CD38, CD40LG, CD5, CD79B, CD84, CLEC10A, CXCL9, F2R, FCER2, FEN1, FLI1, GRAP2, GZMA, HAVCR2, IL7R, KLRD1, LAT, MILR1, NCR1, NFKBIE, SCARF1, SIGLEC10, SIGLEC7, SIT1, SLAMF6, TNFRSF1B, TNFRSF4, TNFRSF9, TNFSF13B, XCL1",40
"2","60%-40%","Deep","brain","ADAM22, APLP1, B4GAT1, CLIP2, CRTAM, CST3, DRAXIN, EDIL3, FKBP1B, ICAM5, IGSF8, MEGF10, MOG, NEFL, NFASC, NPPC, NTproBNP, PLXNB3, PON2, PPP1R9B, SCRN1, SORCS2, SORT1, TAFA5",24
"54","60%-40%","Deep","liver","ADAMTS13, ANGPTL3, APOH, CCL16, CD302, CLEC1B, COL18A1, CRHBP, HYOU1, INHBC, IQGAP2, PROC, SCP2, TST",14
"39","60%-40%","Deep","bone marrow","ANXA3, BID, CASP8, CCL4, CD83, CEACAM8, CLC, CLEC11A, CLEC5A, CXCL8, EREG, PLAUR",12
"18","60%-40%","Deep","bone marrow, lymphoid tissue","CCL5, CD69, CTSS, FES, FYB1, GNLY, GP1BA, IFNG, KLRB1, PTPN6, TNF",11
"13","60%-40%","Deep","placenta","ANGPTL1, CD93, COL4A1, HGF, JAM2, PAPPA, PECAM1, SPARC, TEK, TFPI2",10
"6","60%-40%","Deep","skin 1","CST6, EFNA4, GPC1, KLK14, SERPINA12, WFDC12, XG",7
