,0
0,RSPO3
1,EDIL3
2,IFNG
3,CCL25
4,ICOSLG
5,DAPP1
6,ESM1
7,SPON1
8,UXS1
9,TNFRSF4
10,CNTN1
11,PMVK
12,APOH
13,KLRB1
14,EPHB6
15,LTBR
16,CCN3
17,CTSF
18,CD59
19,IL4R
20,CA3
21,SOD2
22,GNLY
23,GDNF
24,P4HB
25,CCL24
26,SFTPD
27,DSG3
28,MIA
29,PTPRF
30,CPM
31,STX6
32,GZMB
33,FABP4
34,CD163
35,STX4
36,THBD
37,MUC16
38,MAGED1
39,EPHA2
40,STXBP3
41,NFKBIE
42,WASF3
43,APBB1IP
44,PRL
45,EDAR
46,DPP10
47,CNTNAP2
48,FLI1
49,SUMF2
50,TNFRSF11A
51,SPINT2
52,TBL1X
53,LAIR1
54,ERBB2
55,WWP2
56,TNFRSF6B
57,ANXA3
58,MZB1
59,SNAP29
60,CD99L2
61,CD46
62,CLEC1A
63,ENPP5
64,SELP
65,CCN2
66,NOTCH3
67,NCF2
68,CXCL3
69,TSPAN1
70,FYB1
71,PDGFA
72,FLT1
73,IL7R
74,CASP2
75,DEFA1_DEFA1B
76,IL10RB
77,IPCEF1
78,DDC
79,TIMP3
80,PRKRA
81,MFAP3
82,COMP
83,MANSC1
84,FRZB
85,BCL2L11
86,CRACR2A
87,FES
88,KLK11
89,NPPC
90,ADGRB3
91,IGFBP4
92,STX16
93,DSC2
94,PDP1
95,GP2
96,PTH1R
97,AFP
98,VASN
99,BOC
100,ALCAM
101,TGFBR3
102,SPP1
103,ISLR2
104,ITGA5
105,CHGB
106,CRELD2
107,MSR1
108,FCRL5
109,ENPP2
110,SDC4
111,SCAMP3
112,TNFRSF10A
113,SLAMF8
114,ICAM5
115,SPINK1
116,CD276
117,NADK
118,GCG
119,FSTL3
120,DECR1
121,VTCN1
122,SRC
123,TNFSF14
124,ARHGAP25
125,IL15RA
126,SPARC
127,YES1
128,MSLN
129,ITGA11
130,VSIG4
131,IL6ST
132,AGRP
133,PLAUR
134,HS6ST1
135,PLA2G4A
136,LAYN
137,INPP1
138,ARSB
139,CCL17
140,CA12
141,DNAJA2
142,PSG1
143,FAS
144,CCL13
145,TXLNA
146,CST6
147,CD164
148,PRSS8
149,CD69
150,CA13
151,C1QA
152,CDCP1
153,TGFA
154,CD300C
155,TRIM5
156,DIABLO
157,CRHBP
158,FKBP1B
159,RELT
160,ACE2
161,TIA1
162,ATP5PO
163,PLAU
164,USO1
165,MITD1
166,NTF4
167,FUT8
168,MOG
169,TNF
170,KLRD1
171,RARRES2
172,HGF
173,CXADR
174,TREML2
175,GZMA
176,LRP11
177,VEGFC
178,CORO1A
179,TGFBR2
180,CCL14
181,PCDH1
182,PEAR1
183,ADM
184,SULT2A1
185,EGFL7
186,KRT18
187,SIGLEC10
188,PTK7
189,TNFRSF12A
190,POLR2F
191,TNFRSF11B
192,C19orf12
193,SNAP23
194,MEPE
195,S100P
196,FCRL3
197,SMOC1
198,ADAMTS16
199,SPON2
200,HAVCR2
201,DCN
202,ANPEP
203,FCN2
204,TIE1
205,SKAP2
206,FCER2
207,PAEP
208,CLEC1B
209,CDHR2
210,DKK1
211,PTPN6
212,PVALB
213,CXCL17
214,WFDC2
215,CD55
216,NCS1
217,PIGR
218,CD300LG
219,NCK2
220,KIFBP
221,CA14
222,TGFB1
223,CD177
224,PLIN1
225,L1CAM
226,PFKFB2
227,ANGPT1
228,FEN1
229,SLIT2
230,CSF3
231,ERBIN
232,TNFRSF21
233,SNCG
234,SIGLEC9
235,TFF2
236,PILRB
237,CLSTN2
238,HCLS1
239,HTRA2
240,COLEC12
241,PLTP
242,CD244
243,NFATC1
244,IFNGR1
245,LGALS8
246,NRP1
247,GDF15
248,TNC
249,SLC39A14
250,COL1A1
251,ESAM
252,CCL26
253,EFNA4
254,TFPI
255,USP8
256,FLT3LG
257,SH2B3
258,AGXT
259,GFRA1
260,TBC1D23
261,INPPL1
262,TYRO3
263,MAVS
264,NDRG1
265,EIF4G1
266,LY6D
267,PILRA
268,PTGDS
269,PPP1R9B
270,CLEC10A
271,RAB37
272,NTRK2
273,WASF1
274,CST5
275,GP1BA
276,MANF
277,SH2D1A
278,PRDX3
279,TFPI2
280,TMSB10
281,CA5A
282,IL32
283,ACP5
284,IKBKG
285,SMAD5
286,CCL18
287,CELA3A
288,ADAM15
289,SCP2
290,ARHGEF12
291,DNER
292,ITGA6
293,GLT8D2
294,TNFRSF10C
295,SCARB2
296,LRPAP1
297,PAPPA
298,MPIG6B
299,CDH3
300,TNFSF12
301,LYN
302,CD5
303,HBEGF
304,APP
305,CCL23
306,DAG1
307,TIMD4
308,PDGFRA
309,CST3
310,ATP5IF1
311,CD93
312,SLC39A5
313,HSPG2
314,MPI
315,GFRA2
316,MEGF10
317,LDLR
318,DOK2
319,EGF
320,NELL2
321,BCR
322,DPT
323,SULT1A1
324,EBAG9
325,GFRA3
326,CD99
327,SORCS2
328,CCL16
329,COL4A1
330,CCL15
331,ANGPTL3
332,TREM2
333,NECTIN2
334,LCN2
335,CPA2
336,LAT2
337,COX5B
338,TSHB
339,SCARF1
340,PECAM1
341,PTS
342,FABP5
343,CDON
344,ADAM23
345,IGFBP7
346,SCGB1A1
347,FAM3C
348,CLEC5A
349,REG1A
350,DBNL
351,REG1B
352,TDRKH
353,TNFRSF14
354,GPC5
355,GPR37
356,HYOU1
357,CCL11
358,ANGPTL1
359,PRSS2
360,IDI2
361,FOLR1
362,CCL21
363,CCL28
364,FGFBP1
365,MDK
366,PCOLCE
367,0.01282051282051282
