,0
0,RSPO3
1,EDIL3
2,IFNG
3,CCL25
4,ICOSLG
5,DAPP1
6,ESM1
7,SPON1
8,UXS1
9,TNFRSF4
10,CNTN1
11,PMVK
12,APOH
13,KLRB1
14,EPHB6
15,LTBR
16,CCN3
17,CTSF
18,CD59
19,IL4R
20,CA3
21,SOD2
22,GNLY
23,GDNF
24,P4HB
25,CCL24
26,SFTPD
27,DSG3
28,MIA
29,PTPRF
30,CPM
31,STX6
32,GZMB
33,FABP4
34,CD163
35,STX4
36,THBD
37,MUC16
38,MAGED1
39,EPHA2
40,STXBP3
41,NFKBIE
42,WASF3
43,APBB1IP
44,PRL
45,EDAR
46,DPP10
47,CNTNAP2
48,FLI1
49,SUMF2
50,TNFRSF11A
51,SPINT2
52,TBL1X
53,LAIR1
54,ERBB2
55,WWP2
56,TNFRSF6B
57,ANXA3
58,MZB1
59,SNAP29
60,CD99L2
61,CD46
62,CLEC1A
63,ENPP5
64,SELP
65,CCN2
66,NOTCH3
67,NCF2
68,CXCL3
69,TSPAN1
70,FYB1
71,PDGFA
72,FLT1
73,IL7R
74,CASP2
75,DEFA1_DEFA1B
76,IL10RB
77,IPCEF1
78,DDC
79,TIMP3
80,PRKRA
81,MFAP3
82,COMP
83,MANSC1
84,FRZB
85,BCL2L11
86,CRACR2A
87,FES
88,KLK11
89,NPPC
90,ADGRB3
91,IGFBP4
92,STX16
93,DSC2
94,PDP1
95,GP2
96,PTH1R
97,AFP
98,VASN
99,BOC
100,ALCAM
101,TGFBR3
102,SPP1
103,ISLR2
104,SDC1
105,ITGA5
106,CHGB
107,CRELD2
108,MSR1
109,FCRL5
110,ENPP2
111,SDC4
112,SCAMP3
113,TNFRSF10A
114,SLAMF8
115,ICAM5
116,SPINK1
117,CD276
118,NADK
119,GCG
120,FSTL3
121,DECR1
122,VTCN1
123,SRC
124,TNFSF14
125,ARHGAP25
126,IL15RA
127,SPARC
128,YES1
129,MSLN
130,ITGA11
131,VSIG4
132,IL6ST
133,AGRP
134,PLAUR
135,HS6ST1
136,PLA2G4A
137,LAYN
138,INPP1
139,ARSB
140,CCL17
141,CA12
142,DNAJA2
143,PSG1
144,FAS
145,CCL13
146,TXLNA
147,CST6
148,CD164
149,PRSS8
150,CD69
151,CA13
152,C1QA
153,CDCP1
154,TGFA
155,CD300C
156,TRIM5
157,DIABLO
158,CRHBP
159,FKBP1B
160,RELT
161,ACE2
162,TIA1
163,ATP5PO
164,PLAU
165,USO1
166,MITD1
167,NTF4
168,FUT8
169,MOG
170,TNF
171,KLRD1
172,RARRES2
173,HGF
174,CXADR
175,TREML2
176,GZMA
177,LRP11
178,VEGFC
179,CORO1A
180,TGFBR2
181,CCL14
182,PCDH1
183,PEAR1
184,ADM
185,SULT2A1
186,EGFL7
187,KRT18
188,SIGLEC10
189,PTK7
190,TNFRSF12A
191,POLR2F
192,TNFRSF11B
193,C19orf12
194,SNAP23
195,MEPE
196,S100P
197,FCRL3
198,SMOC1
199,ADAMTS16
200,SPON2
201,HAVCR2
202,DCN
203,ANPEP
204,FCN2
205,TIE1
206,SKAP2
207,FCER2
208,PAEP
209,CLEC1B
210,CDHR2
211,DKK1
212,PTPN6
213,PVALB
214,CXCL17
215,WFDC2
216,CD55
217,NCS1
218,PIGR
219,CD300LG
220,NCK2
221,KIFBP
222,CA14
223,TGFB1
224,CD177
225,PLIN1
226,L1CAM
227,PFKFB2
228,ANGPT1
229,FEN1
230,SLIT2
231,CSF3
232,ERBIN
233,TNFRSF21
234,SNCG
235,SIGLEC9
236,TFF2
237,PILRB
238,CLSTN2
239,HCLS1
240,HTRA2
241,COLEC12
242,PLTP
243,CD244
244,NFATC1
245,IFNGR1
246,LGALS8
247,NRP1
248,GDF15
249,TNC
250,SLC39A14
251,COL1A1
252,ESAM
253,CCL26
254,EFNA4
255,TFPI
256,USP8
257,FLT3LG
258,SH2B3
259,AGXT
260,GFRA1
261,TBC1D23
262,INPPL1
263,TYRO3
264,MAVS
265,NDRG1
266,EIF4G1
267,LY6D
268,PILRA
269,PTGDS
270,PPP1R9B
271,CLEC10A
272,RAB37
273,NTRK2
274,WASF1
275,CST5
276,GP1BA
277,MANF
278,SH2D1A
279,PRDX3
280,TFPI2
281,TMSB10
282,CA5A
283,IL32
284,ACP5
285,IKBKG
286,SMAD5
287,CCL18
288,CELA3A
289,ADAM15
290,SCP2
291,ARHGEF12
292,DNER
293,ITGA6
294,GLT8D2
295,TNFRSF10C
296,SCARB2
297,LRPAP1
298,PAPPA
299,MPIG6B
300,CDH3
301,TNFSF12
302,LYN
303,CD5
304,HBEGF
305,APP
306,CCL23
307,DAG1
308,TIMD4
309,PDGFRA
310,CST3
311,ATP5IF1
312,CD93
313,SLC39A5
314,HSPG2
315,MPI
316,GFRA2
317,MEGF10
318,LDLR
319,DOK2
320,EGF
321,NELL2
322,BCR
323,DPT
324,SULT1A1
325,EBAG9
326,GFRA3
327,CD99
328,SORCS2
329,CCL16
330,COL4A1
331,CCL15
332,ANGPTL3
333,TREM2
334,NECTIN2
335,LCN2
336,CPA2
337,LAT2
338,COX5B
339,TSHB
340,SCARF1
341,PECAM1
342,PTS
343,FABP5
344,CDON
345,ADAM23
346,IGFBP7
347,SCGB1A1
348,FAM3C
349,CLEC5A
350,REG1A
351,DBNL
352,REG1B
353,TDRKH
354,TNFRSF14
355,GPC5
356,GPR37
357,HYOU1
358,CCL11
359,ANGPTL1
360,PRSS2
361,IDI2
362,FOLR1
363,CCL21
364,CCL28
365,FGFBP1
366,MDK
367,0.01276595744680851
