,0
0,CD163
1,LRP1
2,VTCN1
3,NRP1
4,ACTA2
5,PRSS8
6,CDHR2
7,COL1A1
8,DKK1
9,CCN4
10,IGFBP6
11,AXL
12,NCAM1
13,NPPB
14,HYOU1
15,CDCP1
16,PIGR
17,MANF
18,CCL14
19,CNPY4
20,DCBLD2
21,PIK3IP1
22,LAYN
23,SFRP1
24,DNER
25,L1CAM
26,SLITRK2
27,CCL22
28,CXCL9
29,CLMP
30,MATN2
31,SORT1
32,IL32
33,BMP6
34,IGF2R
35,KLRD1
36,LAIR1
37,TNFRSF13C
38,GGT1
39,ITGAV
40,TXLNA
41,IGFBP7
42,HGF
43,PI3
44,CD27
45,CD46
46,SPINT2
47,IL6R
48,DDX58
49,EDA2R
50,TXNDC5
51,CLPS
52,TGFA
53,LCN2
54,CCN5
55,SELP
56,PAMR1
57,TYRO3
58,PHOSPHO1
59,AGXT
60,CHRDL2
61,TNFRSF4
62,SNCG
63,PFKFB2
64,ROBO1
65,MZB1
66,PROC
67,CXCL16
68,ADGRE2
69,AFP
70,SPON2
71,ACVRL1
72,NFKBIE
73,FKBP1B
74,AGRP
75,COL6A3
76,SPP1
77,CD69
78,LPCAT2
79,KITLG
80,SPINT1
81,NTRK3
82,MPIG6B
83,CD300LG
84,GP1BA
85,GZMB
86,TNFRSF10B
87,ACAA1
88,FCN2
89,AGR2
90,TNFRSF1B
91,FLRT2
92,CD40LG
93,DSC2
94,TNFSF13B
95,PTK7
96,CD160
97,SOST
98,FGF5
99,CCL23
100,PLA2G1B
101,IFNL1
102,HAO1
103,CNTN5
104,PPIB
105,MARCO
106,F11R
107,CD28
108,PDCD1
109,IQGAP2
110,LXN
111,MSR1
112,PAEP
113,CELA3A
114,BPIFB1
115,CNTN1
116,C4BPB
117,CGREF1
118,TNFRSF1A
119,TNFRSF11B
120,SLIT2
121,IGFBP2
122,GOPC
123,GRAP2
124,CD276
125,NECTIN4
126,PILRA
127,SPINK1
128,SLC39A14
129,CPXM1
130,PTPRM
131,HSPG2
132,RELT
133,CCL16
134,DPP10
135,APOH
136,GPC5
137,ICAM1
138,ENTPD2
139,ACE2
140,CLIP2
141,SOD2
142,HBEGF
143,ADGRB3
144,YES1
145,SCARF1
146,NEFL
147,PCOLCE
148,PRL
149,PTH1R
