"","...1","Tissue","Total","Organ_Count","Tissue_Count","Split","Model"
"1",1,"adipose tissue, breast",1,1,"1-Group enriched: adipose tissue, breast","60%-40%","Deep"
"2",2,"adrenal gland, pituitary gland, placenta",1,2,"2-Group enriched: adrenal gland, pituitary gland, placenta","60%-40%","Deep"
"3",3,"bone marrow, brain, lymphoid tissue, thyroid gland",1,3,"3-Group enriched: bone marrow, brain, lymphoid tissue, thyroid gland","60%-40%","Deep"
"4",4,"bone marrow, lymphoid tissue",3,4,"4-Group enriched: bone marrow, lymphoid tissue","60%-40%","Deep"
"5",5,"bone marrow, skeletal muscle",1,5,"5-Group enriched: bone marrow, skeletal muscle","60%-40%","Deep"
"6",6,"brain, choroid plexus",1,6,"6-Group enriched: brain, choroid plexus","60%-40%","Deep"
"7",7,"brain, epididymis",1,7,"7-Group enriched: brain, epididymis","60%-40%","Deep"
"8",8,"brain, pituitary gland",1,8,"8-Group enriched: brain, pituitary gland","60%-40%","Deep"
"9",9,"brain, retina",1,9,"9-Group enriched: brain, retina","60%-40%","Deep"
"10",10,"brain, testis",1,10,"10-Group enriched: brain, testis","60%-40%","Deep"
"11",11,"esophagus, salivary gland, skin 1, vagina",1,11,"11-Group enriched: esophagus, salivary gland, skin 1, vagina","60%-40%","Deep"
"12",12,"esophagus, vagina",1,12,"12-Group enriched: esophagus, vagina","60%-40%","Deep"
"13",13,"heart muscle, skeletal muscle, tongue",2,13,"13-Group enriched: heart muscle, skeletal muscle, tongue","60%-40%","Deep"
"14",14,"intestine, kidney, liver, pancreas",1,14,"14-Group enriched: intestine, kidney, liver, pancreas","60%-40%","Deep"
"15",15,"intestine, kidney, retina",1,15,"15-Group enriched: intestine, kidney, retina","60%-40%","Deep"
"16",16,"intestine, liver",1,16,"16-Group enriched: intestine, liver","60%-40%","Deep"
"17",17,"intestine, lymphoid tissue",1,17,"17-Group enriched: intestine, lymphoid tissue","60%-40%","Deep"
"18",18,"intestine, lymphoid tissue, skin 1, urinary bladder",1,18,"18-Group enriched: intestine, lymphoid tissue, skin 1, urinary bladder","60%-40%","Deep"
"19",19,"intestine, pancreas",1,19,"19-Group enriched: intestine, pancreas","60%-40%","Deep"
"20",20,"kidney, liver",1,20,"20-Group enriched: kidney, liver","60%-40%","Deep"
"21",21,"kidney, pancreas, skeletal muscle",1,21,"21-Group enriched: kidney, pancreas, skeletal muscle","60%-40%","Deep"
"22",22,"Low tissue specificity",130,22,"22-Low tissue specificity","60%-40%","Deep"
"23",23,"adipose tissue",4,23,"23-Tissue enhanced: adipose tissue","60%-40%","Deep"
"24",24,"adipose tissue, brain",1,24,"24-Tissue enhanced: adipose tissue, brain","60%-40%","Deep"
"25",25,"adipose tissue, breast, placenta",1,25,"25-Tissue enhanced: adipose tissue, breast, placenta","60%-40%","Deep"
"26",26,"adipose tissue, lymphoid tissue, urinary bladder",1,26,"26-Tissue enhanced: adipose tissue, lymphoid tissue, urinary bladder","60%-40%","Deep"
"27",27,"adipose tissue, skin 1",1,27,"27-Tissue enhanced: adipose tissue, skin 1","60%-40%","Deep"
"28",28,"adipose tissue, tongue",1,28,"28-Tissue enhanced: adipose tissue, tongue","60%-40%","Deep"
"29",29,"adrenal gland",1,29,"29-Tissue enhanced: adrenal gland","60%-40%","Deep"
"30",30,"adrenal gland, brain",1,30,"30-Tissue enhanced: adrenal gland, brain","60%-40%","Deep"
"31",31,"adrenal gland, brain, choroid plexus",1,31,"31-Tissue enhanced: adrenal gland, brain, choroid plexus","60%-40%","Deep"
"32",32,"adrenal gland, brain, pancreas",1,32,"32-Tissue enhanced: adrenal gland, brain, pancreas","60%-40%","Deep"
"33",33,"adrenal gland, liver, pancreas",1,33,"33-Tissue enhanced: adrenal gland, liver, pancreas","60%-40%","Deep"
"34",34,"bone marrow",4,34,"34-Tissue enhanced: bone marrow","60%-40%","Deep"
"35",35,"bone marrow, brain",1,35,"35-Tissue enhanced: bone marrow, brain","60%-40%","Deep"
"36",36,"bone marrow, brain, lymphoid tissue",1,36,"36-Tissue enhanced: bone marrow, brain, lymphoid tissue","60%-40%","Deep"
"37",37,"bone marrow, gallbladder, salivary gland",1,37,"37-Tissue enhanced: bone marrow, gallbladder, salivary gland","60%-40%","Deep"
"38",38,"bone marrow, intestine",1,38,"38-Tissue enhanced: bone marrow, intestine","60%-40%","Deep"
"39",39,"bone marrow, intestine, salivary gland",1,39,"39-Tissue enhanced: bone marrow, intestine, salivary gland","60%-40%","Deep"
"40",40,"bone marrow, lung, lymphoid tissue",1,40,"40-Tissue enhanced: bone marrow, lung, lymphoid tissue","60%-40%","Deep"
"41",41,"bone marrow, lymphoid tissue",11,41,"41-Tissue enhanced: bone marrow, lymphoid tissue","60%-40%","Deep"
"42",42,"bone marrow, lymphoid tissue, testis",1,42,"42-Tissue enhanced: bone marrow, lymphoid tissue, testis","60%-40%","Deep"
"43",43,"brain",13,43,"43-Tissue enhanced: brain","60%-40%","Deep"
"44",44,"brain, choroid plexus",1,44,"44-Tissue enhanced: brain, choroid plexus","60%-40%","Deep"
"45",45,"brain, choroid plexus, lung",1,45,"45-Tissue enhanced: brain, choroid plexus, lung","60%-40%","Deep"
"46",46,"brain, heart muscle",1,46,"46-Tissue enhanced: brain, heart muscle","60%-40%","Deep"
"47",47,"brain, intestine",1,47,"47-Tissue enhanced: brain, intestine","60%-40%","Deep"
"48",48,"brain, ovary",1,48,"48-Tissue enhanced: brain, ovary","60%-40%","Deep"
"49",49,"brain, parathyroid gland",1,49,"49-Tissue enhanced: brain, parathyroid gland","60%-40%","Deep"
"50",50,"brain, retina",2,50,"50-Tissue enhanced: brain, retina","60%-40%","Deep"
"51",51,"brain, skeletal muscle, tongue",1,51,"51-Tissue enhanced: brain, skeletal muscle, tongue","60%-40%","Deep"
"52",52,"brain, smooth muscle, urinary bladder",1,52,"52-Tissue enhanced: brain, smooth muscle, urinary bladder","60%-40%","Deep"
"53",53,"brain, testis",1,53,"53-Tissue enhanced: brain, testis","60%-40%","Deep"
"54",54,"breast",1,54,"54-Tissue enhanced: breast","60%-40%","Deep"
"55",55,"breast, fallopian tube, pancreas",1,55,"55-Tissue enhanced: breast, fallopian tube, pancreas","60%-40%","Deep"
"56",56,"breast, intestine, stomach 1",1,56,"56-Tissue enhanced: breast, intestine, stomach 1","60%-40%","Deep"
"57",57,"breast, liver, lymphoid tissue",1,57,"57-Tissue enhanced: breast, liver, lymphoid tissue","60%-40%","Deep"
"58",58,"cervix",2,58,"58-Tissue enhanced: cervix","60%-40%","Deep"
"59",59,"cervix, endometrium 1",2,59,"59-Tissue enhanced: cervix, endometrium 1","60%-40%","Deep"
"60",60,"cervix, endometrium 1, smooth muscle",1,60,"60-Tissue enhanced: cervix, endometrium 1, smooth muscle","60%-40%","Deep"
"61",61,"cervix, placenta, urinary bladder",1,61,"61-Tissue enhanced: cervix, placenta, urinary bladder","60%-40%","Deep"
"62",62,"cervix, salivary gland",1,62,"62-Tissue enhanced: cervix, salivary gland","60%-40%","Deep"
"63",63,"choroid plexus, retina, skeletal muscle, tongue",1,63,"63-Tissue enhanced: choroid plexus, retina, skeletal muscle, tongue","60%-40%","Deep"
"64",64,"endometrium 1",3,64,"64-Tissue enhanced: endometrium 1","60%-40%","Deep"
"65",65,"endometrium 1, seminal vesicle, smooth muscle",1,65,"65-Tissue enhanced: endometrium 1, seminal vesicle, smooth muscle","60%-40%","Deep"
"66",66,"endometrium 1, skeletal muscle",1,66,"66-Tissue enhanced: endometrium 1, skeletal muscle","60%-40%","Deep"
"67",67,"endometrium 1, smooth muscle",1,67,"67-Tissue enhanced: endometrium 1, smooth muscle","60%-40%","Deep"
"68",68,"esophagus",3,68,"68-Tissue enhanced: esophagus","60%-40%","Deep"
"69",69,"esophagus, intestine, salivary gland, urinary bladder",1,69,"69-Tissue enhanced: esophagus, intestine, salivary gland, urinary bladder","60%-40%","Deep"
"70",70,"esophagus, lymphoid tissue",1,70,"70-Tissue enhanced: esophagus, lymphoid tissue","60%-40%","Deep"
"71",71,"esophagus, salivary gland, skin 1, vagina",1,71,"71-Tissue enhanced: esophagus, salivary gland, skin 1, vagina","60%-40%","Deep"
"72",72,"esophagus, skin 1, vagina",1,72,"72-Tissue enhanced: esophagus, skin 1, vagina","60%-40%","Deep"
"73",73,"gallbladder, intestine, kidney",1,73,"73-Tissue enhanced: gallbladder, intestine, kidney","60%-40%","Deep"
"74",74,"gallbladder, salivary gland, urinary bladder",1,74,"74-Tissue enhanced: gallbladder, salivary gland, urinary bladder","60%-40%","Deep"
"75",75,"gallbladder, stomach 1, urinary bladder",1,75,"75-Tissue enhanced: gallbladder, stomach 1, urinary bladder","60%-40%","Deep"
"76",76,"heart muscle",1,76,"76-Tissue enhanced: heart muscle","60%-40%","Deep"
