"","Tissue","Total","Organ_Count","Tissue_Count","Split","Model"
"1","Group enriched: bone marrow, lymphoid tissue",1,1,"1-Group enriched: bone marrow, lymphoid tissue","70%-30%","Deep"
"2","Group enriched: bone marrow, skeletal muscle",1,2,"2-Group enriched: bone marrow, skeletal muscle","70%-30%","Deep"
"3","Group enriched: brain, epididymis",1,3,"3-Group enriched: brain, epididymis","70%-30%","Deep"
"4","Group enriched: brain, gallbladder",1,4,"4-Group enriched: brain, gallbladder","70%-30%","Deep"
"5","Group enriched: brain, pituitary gland",1,5,"5-Group enriched: brain, pituitary gland","70%-30%","Deep"
"6","Group enriched: esophagus, lymphoid tissue, vagina",1,6,"6-Group enriched: esophagus, lymphoid tissue, vagina","70%-30%","Deep"
"7","Group enriched: esophagus, salivary gland, skin 1, vagina",1,7,"7-Group enriched: esophagus, salivary gland, skin 1, vagina","70%-30%","Deep"
"8","Group enriched: intestine, lymphoid tissue",1,8,"8-Group enriched: intestine, lymphoid tissue","70%-30%","Deep"
"9","Group enriched: intestine, lymphoid tissue, skin 1, urinary bladder",1,9,"9-Group enriched: intestine, lymphoid tissue, skin 1, urinary bladder","70%-30%","Deep"
"10","Group enriched: kidney, liver",1,10,"10-Group enriched: kidney, liver","70%-30%","Deep"
"11","Group enriched: kidney, thyroid gland",1,11,"11-Group enriched: kidney, thyroid gland","70%-30%","Deep"
"12","Group enriched: lymphoid tissue, placenta",1,12,"12-Group enriched: lymphoid tissue, placenta","70%-30%","Deep"
"13","Low tissue specificity",37,13,"13-Low tissue specificity","70%-30%","Deep"
"14","Not detected",1,14,"14-Not detected","70%-30%","Deep"
"15","Tissue enhanced: adipose tissue",2,15,"15-Tissue enhanced: adipose tissue","70%-30%","Deep"
"16","Tissue enhanced: adipose tissue, breast, placenta",1,16,"16-Tissue enhanced: adipose tissue, breast, placenta","70%-30%","Deep"
"17","Tissue enhanced: adipose tissue, cervix",1,17,"17-Tissue enhanced: adipose tissue, cervix","70%-30%","Deep"
"18","Tissue enhanced: adrenal gland, brain",1,18,"18-Tissue enhanced: adrenal gland, brain","70%-30%","Deep"
"19","Tissue enhanced: adrenal gland, brain, choroid plexus",1,19,"19-Tissue enhanced: adrenal gland, brain, choroid plexus","70%-30%","Deep"
"20","Tissue enhanced: adrenal gland, brain, pancreas",1,20,"20-Tissue enhanced: adrenal gland, brain, pancreas","70%-30%","Deep"
"21","Tissue enhanced: bone marrow, gallbladder, salivary gland",1,21,"21-Tissue enhanced: bone marrow, gallbladder, salivary gland","70%-30%","Deep"
"22","Tissue enhanced: bone marrow, lymphoid tissue",2,22,"22-Tissue enhanced: bone marrow, lymphoid tissue","70%-30%","Deep"
"23","Tissue enhanced: bone marrow, thyroid gland",1,23,"23-Tissue enhanced: bone marrow, thyroid gland","70%-30%","Deep"
"24","Tissue enhanced: brain",7,24,"24-Tissue enhanced: brain","70%-30%","Deep"
"25","Tissue enhanced: brain, gallbladder, kidney, placenta",1,25,"25-Tissue enhanced: brain, gallbladder, kidney, placenta","70%-30%","Deep"
"26","Tissue enhanced: brain, heart muscle",1,26,"26-Tissue enhanced: brain, heart muscle","70%-30%","Deep"
"27","Tissue enhanced: brain, intestine",1,27,"27-Tissue enhanced: brain, intestine","70%-30%","Deep"
"28","Tissue enhanced: brain, kidney, testis",1,28,"28-Tissue enhanced: brain, kidney, testis","70%-30%","Deep"
"29","Tissue enhanced: brain, ovary",1,29,"29-Tissue enhanced: brain, ovary","70%-30%","Deep"
"30","Tissue enhanced: brain, placenta, salivary gland, thyroid gland",1,30,"30-Tissue enhanced: brain, placenta, salivary gland, thyroid gland","70%-30%","Deep"
"31","Tissue enhanced: brain, retina",1,31,"31-Tissue enhanced: brain, retina","70%-30%","Deep"
"32","Tissue enhanced: brain, salivary gland",1,32,"32-Tissue enhanced: brain, salivary gland","70%-30%","Deep"
"33","Tissue enhanced: breast, choroid plexus",1,33,"33-Tissue enhanced: breast, choroid plexus","70%-30%","Deep"
"34","Tissue enhanced: breast, fallopian tube, pancreas",1,34,"34-Tissue enhanced: breast, fallopian tube, pancreas","70%-30%","Deep"
"35","Tissue enhanced: cervix, gallbladder",1,35,"35-Tissue enhanced: cervix, gallbladder","70%-30%","Deep"
"36","Tissue enhanced: cervix, intestine, stomach 1",1,36,"36-Tissue enhanced: cervix, intestine, stomach 1","70%-30%","Deep"
"37","Tissue enhanced: cervix, placenta, urinary bladder",1,37,"37-Tissue enhanced: cervix, placenta, urinary bladder","70%-30%","Deep"
"38","Tissue enhanced: cervix, salivary gland, stomach 1",1,38,"38-Tissue enhanced: cervix, salivary gland, stomach 1","70%-30%","Deep"
"39","Tissue enhanced: endometrium 1",1,39,"39-Tissue enhanced: endometrium 1","70%-30%","Deep"
"40","Tissue enhanced: endometrium 1, gallbladder, lymphoid tissue, smooth muscle",1,40,"40-Tissue enhanced: endometrium 1, gallbladder, lymphoid tissue, smooth muscle","70%-30%","Deep"
"41","Tissue enhanced: endometrium 1, seminal vesicle, smooth muscle",1,41,"41-Tissue enhanced: endometrium 1, seminal vesicle, smooth muscle","70%-30%","Deep"
"42","Tissue enhanced: esophagus",2,42,"42-Tissue enhanced: esophagus","70%-30%","Deep"
"43","Tissue enhanced: esophagus, vagina",1,43,"43-Tissue enhanced: esophagus, vagina","70%-30%","Deep"
"44","Tissue enhanced: gallbladder",1,44,"44-Tissue enhanced: gallbladder","70%-30%","Deep"
"45","Tissue enhanced: gallbladder, intestine, kidney",1,45,"45-Tissue enhanced: gallbladder, intestine, kidney","70%-30%","Deep"
"46","Tissue enhanced: intestine, lymphoid tissue",1,46,"46-Tissue enhanced: intestine, lymphoid tissue","70%-30%","Deep"
"47","Tissue enhanced: intestine, salivary gland",1,47,"47-Tissue enhanced: intestine, salivary gland","70%-30%","Deep"
"48","Tissue enhanced: kidney, liver",1,48,"48-Tissue enhanced: kidney, liver","70%-30%","Deep"
"49","Tissue enhanced: liver",2,49,"49-Tissue enhanced: liver","70%-30%","Deep"
"50","Tissue enhanced: liver, lung, lymphoid tissue",1,50,"50-Tissue enhanced: liver, lung, lymphoid tissue","70%-30%","Deep"
"51","Tissue enhanced: liver, pancreas",2,51,"51-Tissue enhanced: liver, pancreas","70%-30%","Deep"
"52","Tissue enhanced: liver, skeletal muscle",1,52,"52-Tissue enhanced: liver, skeletal muscle","70%-30%","Deep"
"53","Tissue enhanced: lung",1,53,"53-Tissue enhanced: lung","70%-30%","Deep"
"54","Tissue enhanced: lung, lymphoid tissue",1,54,"54-Tissue enhanced: lung, lymphoid tissue","70%-30%","Deep"
"55","Tissue enhanced: lung, lymphoid tissue, skin 1",1,55,"55-Tissue enhanced: lung, lymphoid tissue, skin 1","70%-30%","Deep"
"56","Tissue enhanced: lung, urinary bladder",1,56,"56-Tissue enhanced: lung, urinary bladder","70%-30%","Deep"
"57","Tissue enhanced: lymphoid tissue",12,57,"57-Tissue enhanced: lymphoid tissue","70%-30%","Deep"
"58","Tissue enhanced: ovary, pancreas",1,58,"58-Tissue enhanced: ovary, pancreas","70%-30%","Deep"
"59","Tissue enhanced: pancreas",1,59,"59-Tissue enhanced: pancreas","70%-30%","Deep"
"60","Tissue enhanced: placenta",1,60,"60-Tissue enhanced: placenta","70%-30%","Deep"
"61","Tissue enhanced: retina",1,61,"61-Tissue enhanced: retina","70%-30%","Deep"
"62","Tissue enhanced: salivary gland",1,62,"62-Tissue enhanced: salivary gland","70%-30%","Deep"
"63","Tissue enhanced: skeletal muscle",1,63,"63-Tissue enhanced: skeletal muscle","70%-30%","Deep"
"64","Tissue enhanced: smooth muscle",1,64,"64-Tissue enhanced: smooth muscle","70%-30%","Deep"
"65","Tissue enhanced: urinary bladder",2,65,"65-Tissue enhanced: urinary bladder","70%-30%","Deep"
"66","Tissue enriched: bone marrow",1,66,"66-Tissue enriched: bone marrow","70%-30%","Deep"
"67","Tissue enriched: brain",1,67,"67-Tissue enriched: brain","70%-30%","Deep"
"68","Tissue enriched: endometrium 1",1,68,"68-Tissue enriched: endometrium 1","70%-30%","Deep"
"69","Tissue enriched: heart muscle",1,69,"69-Tissue enriched: heart muscle","70%-30%","Deep"
"70","Tissue enriched: intestine",1,70,"70-Tissue enriched: intestine","70%-30%","Deep"
"71","Tissue enriched: kidney",2,71,"71-Tissue enriched: kidney","70%-30%","Deep"
"72","Tissue enriched: liver",8,72,"72-Tissue enriched: liver","70%-30%","Deep"
"73","Tissue enriched: lung",1,73,"73-Tissue enriched: lung","70%-30%","Deep"
"74","Tissue enriched: lymphoid tissue",3,74,"74-Tissue enriched: lymphoid tissue","70%-30%","Deep"
"75","Tissue enriched: pancreas",4,75,"75-Tissue enriched: pancreas","70%-30%","Deep"
"76","Tissue enriched: pituitary gland",1,76,"76-Tissue enriched: pituitary gland","70%-30%","Deep"
"77","Tissue enriched: placenta",1,77,"77-Tissue enriched: placenta","70%-30%","Deep"
"78","Tissue enriched: testis",1,78,"78-Tissue enriched: testis","70%-30%","Deep"
