"","Tissue","Total","Organ_Count","Tissue_Count","Split","Model"
"1","Group enriched: esophagus, lung, salivary gland, stomach 1",1,1,"1-Group enriched: esophagus, lung, salivary gland, stomach 1","75%-25%","HARAM"
"2","Group enriched: esophagus, salivary gland, skin 1, vagina",1,2,"2-Group enriched: esophagus, salivary gland, skin 1, vagina","75%-25%","HARAM"
"3","Group enriched: intestine, pancreas",1,3,"3-Group enriched: intestine, pancreas","75%-25%","HARAM"
"4","Low tissue specificity",1,4,"4-Low tissue specificity","75%-25%","HARAM"
"5","Tissue enhanced: cervix, endometrium 1",1,5,"5-Tissue enhanced: cervix, endometrium 1","75%-25%","HARAM"
"6","Tissue enhanced: endometrium 1",1,6,"6-Tissue enhanced: endometrium 1","75%-25%","HARAM"
"7","Tissue enhanced: liver, placenta",1,7,"7-Tissue enhanced: liver, placenta","75%-25%","HARAM"
"8","Tissue enhanced: ovary",1,8,"8-Tissue enhanced: ovary","75%-25%","HARAM"
"9","Tissue enhanced: urinary bladder",1,9,"9-Tissue enhanced: urinary bladder","75%-25%","HARAM"
"10","Tissue enriched: brain",1,10,"10-Tissue enriched: brain","75%-25%","HARAM"
"11","Tissue enriched: pituitary gland",1,11,"11-Tissue enriched: pituitary gland","75%-25%","HARAM"
"12","Tissue enriched: placenta",1,12,"12-Tissue enriched: placenta","75%-25%","HARAM"
