"","Tissue","Total","Organ_Count","Tissue_Count","Split","Model"
"1","Group enriched: brain, pituitary gland",1,1,"1-Group enriched: brain, pituitary gland","60%-40%","RakelD"
"2","Group enriched: breast, pituitary gland, salivary gland, stomach 1",1,2,"2-Group enriched: breast, pituitary gland, salivary gland, stomach 1","60%-40%","RakelD"
"3","Group enriched: esophagus, lung, salivary gland, stomach 1",1,3,"3-Group enriched: esophagus, lung, salivary gland, stomach 1","60%-40%","RakelD"
"4","Group enriched: intestine, pancreas",1,4,"4-Group enriched: intestine, pancreas","60%-40%","RakelD"
"5","Low tissue specificity",17,5,"5-Low tissue specificity","60%-40%","RakelD"
"6","Tissue enhanced: adrenal gland, liver, pancreas",1,6,"6-Tissue enhanced: adrenal gland, liver, pancreas","60%-40%","RakelD"
"7","Tissue enhanced: bone marrow, brain",1,7,"7-Tissue enhanced: bone marrow, brain","60%-40%","RakelD"
"8","Tissue enhanced: bone marrow, lung, lymphoid tissue",1,8,"8-Tissue enhanced: bone marrow, lung, lymphoid tissue","60%-40%","RakelD"
"9","Tissue enhanced: bone marrow, lymphoid tissue",2,9,"9-Tissue enhanced: bone marrow, lymphoid tissue","60%-40%","RakelD"
"10","Tissue enhanced: bone marrow, stomach 1, urinary bladder",1,10,"10-Tissue enhanced: bone marrow, stomach 1, urinary bladder","60%-40%","RakelD"
"11","Tissue enhanced: brain, parathyroid gland",1,11,"11-Tissue enhanced: brain, parathyroid gland","60%-40%","RakelD"
"12","Tissue enhanced: brain, urinary bladder",1,12,"12-Tissue enhanced: brain, urinary bladder","60%-40%","RakelD"
"13","Tissue enhanced: esophagus, lymphoid tissue",1,13,"13-Tissue enhanced: esophagus, lymphoid tissue","60%-40%","RakelD"
"14","Tissue enhanced: gallbladder, intestine, kidney",1,14,"14-Tissue enhanced: gallbladder, intestine, kidney","60%-40%","RakelD"
"15","Tissue enhanced: heart muscle, liver",1,15,"15-Tissue enhanced: heart muscle, liver","60%-40%","RakelD"
"16","Tissue enhanced: intestine, lymphoid tissue",1,16,"16-Tissue enhanced: intestine, lymphoid tissue","60%-40%","RakelD"
"17","Tissue enhanced: intestine, lymphoid tissue, stomach 1, urinary bladder",1,17,"17-Tissue enhanced: intestine, lymphoid tissue, stomach 1, urinary bladder","60%-40%","RakelD"
"18","Tissue enhanced: intestine, urinary bladder",1,18,"18-Tissue enhanced: intestine, urinary bladder","60%-40%","RakelD"
"19","Tissue enhanced: kidney, urinary bladder",1,19,"19-Tissue enhanced: kidney, urinary bladder","60%-40%","RakelD"
"20","Tissue enhanced: liver, placenta",1,20,"20-Tissue enhanced: liver, placenta","60%-40%","RakelD"
"21","Tissue enhanced: lung",1,21,"21-Tissue enhanced: lung","60%-40%","RakelD"
"22","Tissue enhanced: lung, lymphoid tissue",1,22,"22-Tissue enhanced: lung, lymphoid tissue","60%-40%","RakelD"
"23","Tissue enhanced: lymphoid tissue",4,23,"23-Tissue enhanced: lymphoid tissue","60%-40%","RakelD"
"24","Tissue enhanced: parathyroid gland, testis",1,24,"24-Tissue enhanced: parathyroid gland, testis","60%-40%","RakelD"
"25","Tissue enhanced: seminal vesicle",1,25,"25-Tissue enhanced: seminal vesicle","60%-40%","RakelD"
"26","Tissue enriched: liver",2,26,"26-Tissue enriched: liver","60%-40%","RakelD"
"27","Tissue enriched: lung",1,27,"27-Tissue enriched: lung","60%-40%","RakelD"
"28","Tissue enriched: lymphoid tissue",1,28,"28-Tissue enriched: lymphoid tissue","60%-40%","RakelD"
"29","Tissue enriched: pancreas",1,29,"29-Tissue enriched: pancreas","60%-40%","RakelD"
"30","Tissue enriched: parathyroid gland",1,30,"30-Tissue enriched: parathyroid gland","60%-40%","RakelD"
"31","Tissue enriched: placenta",1,31,"31-Tissue enriched: placenta","60%-40%","RakelD"
"32","Tissue enriched: salivary gland",1,32,"32-Tissue enriched: salivary gland","60%-40%","RakelD"
