"","Tissue","Total","Organ_Count","Tissue_Count","Split","Model"
"1","Group enriched: adipose tissue, brain, ovary",1,1,"1-Group enriched: adipose tissue, brain, ovary","60%-40%","SVM"
"2","Group enriched: adrenal gland, pituitary gland",1,2,"2-Group enriched: adrenal gland, pituitary gland","60%-40%","SVM"
"3","Group enriched: bone marrow, brain, lymphoid tissue, thyroid gland",1,3,"3-Group enriched: bone marrow, brain, lymphoid tissue, thyroid gland","60%-40%","SVM"
"4","Group enriched: bone marrow, skeletal muscle",1,4,"4-Group enriched: bone marrow, skeletal muscle","60%-40%","SVM"
"5","Group enriched: brain, epididymis",1,5,"5-Group enriched: brain, epididymis","60%-40%","SVM"
"6","Group enriched: brain, pituitary gland",1,6,"6-Group enriched: brain, pituitary gland","60%-40%","SVM"
"7","Group enriched: esophagus, lung, salivary gland, stomach 1",1,7,"7-Group enriched: esophagus, lung, salivary gland, stomach 1","60%-40%","SVM"
"8","Group enriched: fallopian tube, lung",1,8,"8-Group enriched: fallopian tube, lung","60%-40%","SVM"
"9","Group enriched: intestine, liver",1,9,"9-Group enriched: intestine, liver","60%-40%","SVM"
"10","Group enriched: intestine, lymphoid tissue",2,10,"10-Group enriched: intestine, lymphoid tissue","60%-40%","SVM"
"11","Group enriched: intestine, pancreas",1,11,"11-Group enriched: intestine, pancreas","60%-40%","SVM"
"12","Group enriched: kidney, thyroid gland",1,12,"12-Group enriched: kidney, thyroid gland","60%-40%","SVM"
"13","Group enriched: lymphoid tissue, testis",1,13,"13-Group enriched: lymphoid tissue, testis","60%-40%","SVM"
"14","Low tissue specificity",78,14,"14-Low tissue specificity","60%-40%","SVM"
"15","Tissue enhanced: adipose tissue",1,15,"15-Tissue enhanced: adipose tissue","60%-40%","SVM"
"16","Tissue enhanced: adipose tissue, breast, placenta",1,16,"16-Tissue enhanced: adipose tissue, breast, placenta","60%-40%","SVM"
"17","Tissue enhanced: adipose tissue, skin 1",1,17,"17-Tissue enhanced: adipose tissue, skin 1","60%-40%","SVM"
"18","Tissue enhanced: adipose tissue, tongue",1,18,"18-Tissue enhanced: adipose tissue, tongue","60%-40%","SVM"
"19","Tissue enhanced: adrenal gland, brain, choroid plexus",1,19,"19-Tissue enhanced: adrenal gland, brain, choroid plexus","60%-40%","SVM"
"20","Tissue enhanced: adrenal gland, brain, pancreas",1,20,"20-Tissue enhanced: adrenal gland, brain, pancreas","60%-40%","SVM"
"21","Tissue enhanced: adrenal gland, liver, pancreas",1,21,"21-Tissue enhanced: adrenal gland, liver, pancreas","60%-40%","SVM"
"22","Tissue enhanced: bone marrow",1,22,"22-Tissue enhanced: bone marrow","60%-40%","SVM"
"23","Tissue enhanced: bone marrow, brain",1,23,"23-Tissue enhanced: bone marrow, brain","60%-40%","SVM"
"24","Tissue enhanced: bone marrow, gallbladder, salivary gland",1,24,"24-Tissue enhanced: bone marrow, gallbladder, salivary gland","60%-40%","SVM"
"25","Tissue enhanced: bone marrow, intestine, salivary gland",1,25,"25-Tissue enhanced: bone marrow, intestine, salivary gland","60%-40%","SVM"
"26","Tissue enhanced: bone marrow, lung, lymphoid tissue",2,26,"26-Tissue enhanced: bone marrow, lung, lymphoid tissue","60%-40%","SVM"
"27","Tissue enhanced: bone marrow, lymphoid tissue",11,27,"27-Tissue enhanced: bone marrow, lymphoid tissue","60%-40%","SVM"
"28","Tissue enhanced: bone marrow, stomach 1, urinary bladder",1,28,"28-Tissue enhanced: bone marrow, stomach 1, urinary bladder","60%-40%","SVM"
"29","Tissue enhanced: brain",5,29,"29-Tissue enhanced: brain","60%-40%","SVM"
"30","Tissue enhanced: brain, choroid plexus, lung",1,30,"30-Tissue enhanced: brain, choroid plexus, lung","60%-40%","SVM"
"31","Tissue enhanced: brain, gallbladder, kidney, placenta",1,31,"31-Tissue enhanced: brain, gallbladder, kidney, placenta","60%-40%","SVM"
"32","Tissue enhanced: brain, heart muscle, testis",1,32,"32-Tissue enhanced: brain, heart muscle, testis","60%-40%","SVM"
"33","Tissue enhanced: brain, intestine",1,33,"33-Tissue enhanced: brain, intestine","60%-40%","SVM"
"34","Tissue enhanced: brain, kidney, testis",1,34,"34-Tissue enhanced: brain, kidney, testis","60%-40%","SVM"
"35","Tissue enhanced: brain, liver",1,35,"35-Tissue enhanced: brain, liver","60%-40%","SVM"
"36","Tissue enhanced: brain, ovary",2,36,"36-Tissue enhanced: brain, ovary","60%-40%","SVM"
"37","Tissue enhanced: brain, parathyroid gland",1,37,"37-Tissue enhanced: brain, parathyroid gland","60%-40%","SVM"
"38","Tissue enhanced: brain, testis",1,38,"38-Tissue enhanced: brain, testis","60%-40%","SVM"
"39","Tissue enhanced: brain, thyroid gland",1,39,"39-Tissue enhanced: brain, thyroid gland","60%-40%","SVM"
"40","Tissue enhanced: brain, urinary bladder",1,40,"40-Tissue enhanced: brain, urinary bladder","60%-40%","SVM"
"41","Tissue enhanced: breast, fallopian tube, pancreas",1,41,"41-Tissue enhanced: breast, fallopian tube, pancreas","60%-40%","SVM"
"42","Tissue enhanced: cervix",1,42,"42-Tissue enhanced: cervix","60%-40%","SVM"
"43","Tissue enhanced: cervix, endometrium 1, smooth muscle",1,43,"43-Tissue enhanced: cervix, endometrium 1, smooth muscle","60%-40%","SVM"
"44","Tissue enhanced: cervix, gallbladder",1,44,"44-Tissue enhanced: cervix, gallbladder","60%-40%","SVM"
"45","Tissue enhanced: cervix, placenta, urinary bladder",1,45,"45-Tissue enhanced: cervix, placenta, urinary bladder","60%-40%","SVM"
"46","Tissue enhanced: cervix, salivary gland",1,46,"46-Tissue enhanced: cervix, salivary gland","60%-40%","SVM"
"47","Tissue enhanced: choroid plexus, fallopian tube, lung, salivary gland",1,47,"47-Tissue enhanced: choroid plexus, fallopian tube, lung, salivary gland","60%-40%","SVM"
"48","Tissue enhanced: choroid plexus, ovary",1,48,"48-Tissue enhanced: choroid plexus, ovary","60%-40%","SVM"
"49","Tissue enhanced: choroid plexus, retina, skeletal muscle, tongue",1,49,"49-Tissue enhanced: choroid plexus, retina, skeletal muscle, tongue","60%-40%","SVM"
"50","Tissue enhanced: endometrium 1",1,50,"50-Tissue enhanced: endometrium 1","60%-40%","SVM"
"51","Tissue enhanced: esophagus",2,51,"51-Tissue enhanced: esophagus","60%-40%","SVM"
"52","Tissue enhanced: esophagus, liver, skin 1",1,52,"52-Tissue enhanced: esophagus, liver, skin 1","60%-40%","SVM"
"53","Tissue enhanced: esophagus, lymphoid tissue",1,53,"53-Tissue enhanced: esophagus, lymphoid tissue","60%-40%","SVM"
"54","Tissue enhanced: esophagus, lymphoid tissue, vagina",1,54,"54-Tissue enhanced: esophagus, lymphoid tissue, vagina","60%-40%","SVM"
"55","Tissue enhanced: esophagus, skin 1, vagina",1,55,"55-Tissue enhanced: esophagus, skin 1, vagina","60%-40%","SVM"
"56","Tissue enhanced: esophagus, vagina",2,56,"56-Tissue enhanced: esophagus, vagina","60%-40%","SVM"
"57","Tissue enhanced: gallbladder",1,57,"57-Tissue enhanced: gallbladder","60%-40%","SVM"
"58","Tissue enhanced: gallbladder, intestine, kidney",1,58,"58-Tissue enhanced: gallbladder, intestine, kidney","60%-40%","SVM"
"59","Tissue enhanced: heart muscle, liver",1,59,"59-Tissue enhanced: heart muscle, liver","60%-40%","SVM"
"60","Tissue enhanced: intestine",1,60,"60-Tissue enhanced: intestine","60%-40%","SVM"
"61","Tissue enhanced: intestine, liver",1,61,"61-Tissue enhanced: intestine, liver","60%-40%","SVM"
"62","Tissue enhanced: intestine, lymphoid tissue",1,62,"62-Tissue enhanced: intestine, lymphoid tissue","60%-40%","SVM"
"63","Tissue enhanced: intestine, lymphoid tissue, stomach 1, urinary bladder",1,63,"63-Tissue enhanced: intestine, lymphoid tissue, stomach 1, urinary bladder","60%-40%","SVM"
"64","Tissue enhanced: intestine, salivary gland",2,64,"64-Tissue enhanced: intestine, salivary gland","60%-40%","SVM"
"65","Tissue enhanced: intestine, urinary bladder",1,65,"65-Tissue enhanced: intestine, urinary bladder","60%-40%","SVM"
"66","Tissue enhanced: kidney, skin 1",1,66,"66-Tissue enhanced: kidney, skin 1","60%-40%","SVM"
"67","Tissue enhanced: kidney, urinary bladder",1,67,"67-Tissue enhanced: kidney, urinary bladder","60%-40%","SVM"
"68","Tissue enhanced: liver",3,68,"68-Tissue enhanced: liver","60%-40%","SVM"
"69","Tissue enhanced: liver, pancreas",1,69,"69-Tissue enhanced: liver, pancreas","60%-40%","SVM"
"70","Tissue enhanced: liver, placenta",1,70,"70-Tissue enhanced: liver, placenta","60%-40%","SVM"
"71","Tissue enhanced: lung",3,71,"71-Tissue enhanced: lung","60%-40%","SVM"
"72","Tissue enhanced: lung, lymphoid tissue",1,72,"72-Tissue enhanced: lung, lymphoid tissue","60%-40%","SVM"
"73","Tissue enhanced: lymphoid tissue",12,73,"73-Tissue enhanced: lymphoid tissue","60%-40%","SVM"
"74","Tissue enhanced: lymphoid tissue, placenta",1,74,"74-Tissue enhanced: lymphoid tissue, placenta","60%-40%","SVM"
"75","Tissue enhanced: lymphoid tissue, smooth muscle",1,75,"75-Tissue enhanced: lymphoid tissue, smooth muscle","60%-40%","SVM"
"76","Tissue enhanced: ovary",1,76,"76-Tissue enhanced: ovary","60%-40%","SVM"
"77","Tissue enhanced: ovary, pituitary gland",1,77,"77-Tissue enhanced: ovary, pituitary gland","60%-40%","SVM"
"78","Tissue enhanced: parathyroid gland, seminal vesicle",1,78,"78-Tissue enhanced: parathyroid gland, seminal vesicle","60%-40%","SVM"
"79","Tissue enhanced: parathyroid gland, testis",1,79,"79-Tissue enhanced: parathyroid gland, testis","60%-40%","SVM"
"80","Tissue enhanced: placenta",4,80,"80-Tissue enhanced: placenta","60%-40%","SVM"
"81","Tissue enhanced: retina",2,81,"81-Tissue enhanced: retina","60%-40%","SVM"
"82","Tissue enhanced: salivary gland",2,82,"82-Tissue enhanced: salivary gland","60%-40%","SVM"
"83","Tissue enhanced: seminal vesicle",1,83,"83-Tissue enhanced: seminal vesicle","60%-40%","SVM"
"84","Tissue enhanced: skeletal muscle",3,84,"84-Tissue enhanced: skeletal muscle","60%-40%","SVM"
"85","Tissue enhanced: skin 1",1,85,"85-Tissue enhanced: skin 1","60%-40%","SVM"
"86","Tissue enhanced: urinary bladder",2,86,"86-Tissue enhanced: urinary bladder","60%-40%","SVM"
"87","Tissue enriched: bone marrow",2,87,"87-Tissue enriched: bone marrow","60%-40%","SVM"
"88","Tissue enriched: bone marrow, Tissue enriched: bone marrow",1,88,"88-Tissue enriched: bone marrow, Tissue enriched: bone marrow","60%-40%","SVM"
"89","Tissue enriched: brain",5,89,"89-Tissue enriched: brain","60%-40%","SVM"
"90","Tissue enriched: endometrium 1",1,90,"90-Tissue enriched: endometrium 1","60%-40%","SVM"
"91","Tissue enriched: intestine",1,91,"91-Tissue enriched: intestine","60%-40%","SVM"
"92","Tissue enriched: liver",8,92,"92-Tissue enriched: liver","60%-40%","SVM"
"93","Tissue enriched: lung",2,93,"93-Tissue enriched: lung","60%-40%","SVM"
"94","Tissue enriched: lymphoid tissue",4,94,"94-Tissue enriched: lymphoid tissue","60%-40%","SVM"
"95","Tissue enriched: pancreas",7,95,"95-Tissue enriched: pancreas","60%-40%","SVM"
"96","Tissue enriched: parathyroid gland",1,96,"96-Tissue enriched: parathyroid gland","60%-40%","SVM"
"97","Tissue enriched: placenta",3,97,"97-Tissue enriched: placenta","60%-40%","SVM"
