"","Tissue","Total","Organ_Count","Tissue_Count","Split","Model"
"1","Group enriched: esophagus, parathyroid gland",1,1,"1-Group enriched: esophagus, parathyroid gland","75%-25%","SVM"
"2","Group enriched: esophagus, salivary gland, skin 1, vagina",1,2,"2-Group enriched: esophagus, salivary gland, skin 1, vagina","75%-25%","SVM"
"3","Group enriched: intestine, lymphoid tissue",1,3,"3-Group enriched: intestine, lymphoid tissue","75%-25%","SVM"
"4","Low tissue specificity",15,4,"4-Low tissue specificity","75%-25%","SVM"
"5","Not detected",1,5,"5-Not detected","75%-25%","SVM"
"6","Tissue enhanced: adipose tissue",1,6,"6-Tissue enhanced: adipose tissue","75%-25%","SVM"
"7","Tissue enhanced: adipose tissue, lymphoid tissue, urinary bladder",1,7,"7-Tissue enhanced: adipose tissue, lymphoid tissue, urinary bladder","75%-25%","SVM"
"8","Tissue enhanced: bone marrow, lymphoid tissue",1,8,"8-Tissue enhanced: bone marrow, lymphoid tissue","75%-25%","SVM"
"9","Tissue enhanced: brain",2,9,"9-Tissue enhanced: brain","75%-25%","SVM"
"10","Tissue enhanced: brain, choroid plexus, lung",1,10,"10-Tissue enhanced: brain, choroid plexus, lung","75%-25%","SVM"
"11","Tissue enhanced: brain, smooth muscle, urinary bladder",1,11,"11-Tissue enhanced: brain, smooth muscle, urinary bladder","75%-25%","SVM"
"12","Tissue enhanced: cervix, endometrium 1",1,12,"12-Tissue enhanced: cervix, endometrium 1","75%-25%","SVM"
"13","Tissue enhanced: cervix, endometrium 1, smooth muscle",1,13,"13-Tissue enhanced: cervix, endometrium 1, smooth muscle","75%-25%","SVM"
"14","Tissue enhanced: cervix, salivary gland",1,14,"14-Tissue enhanced: cervix, salivary gland","75%-25%","SVM"
"15","Tissue enhanced: choroid plexus, ovary",1,15,"15-Tissue enhanced: choroid plexus, ovary","75%-25%","SVM"
"16","Tissue enhanced: endometrium 1",1,16,"16-Tissue enhanced: endometrium 1","75%-25%","SVM"
"17","Tissue enhanced: gallbladder, salivary gland, urinary bladder",1,17,"17-Tissue enhanced: gallbladder, salivary gland, urinary bladder","75%-25%","SVM"
"18","Tissue enhanced: liver",1,18,"18-Tissue enhanced: liver","75%-25%","SVM"
"19","Tissue enhanced: liver, lung, lymphoid tissue",1,19,"19-Tissue enhanced: liver, lung, lymphoid tissue","75%-25%","SVM"
"20","Tissue enhanced: liver, placenta",1,20,"20-Tissue enhanced: liver, placenta","75%-25%","SVM"
"21","Tissue enhanced: placenta",2,21,"21-Tissue enhanced: placenta","75%-25%","SVM"
"22","Tissue enhanced: skin 1",2,22,"22-Tissue enhanced: skin 1","75%-25%","SVM"
"23","Tissue enhanced: smooth muscle",1,23,"23-Tissue enhanced: smooth muscle","75%-25%","SVM"
"24","Tissue enriched: bone marrow",1,24,"24-Tissue enriched: bone marrow","75%-25%","SVM"
"25","Tissue enriched: kidney",1,25,"25-Tissue enriched: kidney","75%-25%","SVM"
"26","Tissue enriched: liver",2,26,"26-Tissue enriched: liver","75%-25%","SVM"
"27","Tissue enriched: lymphoid tissue",1,27,"27-Tissue enriched: lymphoid tissue","75%-25%","SVM"
"28","Tissue enriched: pancreas",2,28,"28-Tissue enriched: pancreas","75%-25%","SVM"
"29","Tissue enriched: testis",1,29,"29-Tissue enriched: testis","75%-25%","SVM"
