,0
0,RSPO3
1,EDIL3
2,CCL25
3,ICOSLG
4,DAPP1
5,SPON1
6,UXS1
7,TNFRSF4
8,CNTN1
9,PMVK
10,APOH
11,KLRB1
12,LTBR
13,CD59
14,SOD2
15,CCL24
16,DSG3
17,CPM
18,GZMB
19,CD163
20,STX4
21,THBD
22,EPHA2
23,STXBP3
24,DPP10
25,SUMF2
26,TNFRSF11A
27,SPINT2
28,TBL1X
29,LAIR1
30,ERBB2
31,TNFRSF6B
32,MZB1
33,SNAP29
34,CD99L2
35,CD46
36,CLEC1A
37,SELP
38,CCN2
39,NCF2
40,FYB1
41,PDGFA
42,IL7R
43,CASP2
44,DEFA1_DEFA1B
45,IL10RB
46,IPCEF1
47,MFAP3
48,COMP
49,MANSC1
50,FRZB
51,BCL2L11
52,CRACR2A
53,FES
54,NPPC
55,ADGRB3
56,DSC2
57,PDP1
58,AFP
59,BOC
60,ALCAM
61,TGFBR3
62,SPP1
63,SDC1
64,CHGB
65,CRELD2
66,MSR1
67,FCRL5
68,SDC4
69,SCAMP3
70,TNFRSF10A
71,ICAM5
72,SPINK1
73,NADK
74,GCG
75,FSTL3
76,DECR1
77,VTCN1
78,SRC
79,ARHGAP25
80,IL15RA
81,SPARC
82,YES1
83,MSLN
84,ITGA11
85,VSIG4
86,IL6ST
87,AGRP
88,PLAUR
89,PLA2G4A
90,LAYN
91,ARSB
92,CCL17
93,CA12
94,DNAJA2
95,FAS
96,CCL13
97,TXLNA
98,PRSS8
99,CA13
100,C1QA
101,CDCP1
102,CD300C
103,DIABLO
104,CRHBP
105,RELT
106,ACE2
107,PLAU
108,MITD1
109,TNF
110,KLRD1
111,RARRES2
112,HGF
113,CXADR
114,TREML2
115,VEGFC
116,TGFBR2
117,CCL14
118,PCDH1
119,PEAR1
120,EGFL7
121,KRT18
122,SIGLEC10
123,TNFRSF12A
124,TNFRSF11B
125,C19orf12
126,SNAP23
127,MEPE
128,S100P
129,SMOC1
130,ADAMTS16
131,HAVCR2
132,DCN
133,ANPEP
134,FCER2
135,PAEP
136,CLEC1B
137,CDHR2
138,DKK1
139,CXCL17
140,WFDC2
141,NCS1
142,PIGR
143,CD300LG
144,NCK2
145,CA14
146,TGFB1
147,L1CAM
148,PFKFB2
149,ANGPT1
150,FEN1
151,ERBIN
152,TNFRSF21
153,CLSTN2
154,HCLS1
155,HTRA2
156,COLEC12
157,CD244
158,NFATC1
159,LGALS8
160,NRP1
161,GDF15
162,TNC
163,COL1A1
164,CCL26
165,EFNA4
166,TFPI
167,SH2B3
168,AGXT
169,GFRA1
170,TYRO3
171,LY6D
172,PILRA
173,PTGDS
174,PPP1R9B
175,NTRK2
176,WASF1
177,GP1BA
178,TFPI2
179,CA5A
180,IL32
181,ACP5
182,IKBKG
183,SMAD5
184,CELA3A
185,ADAM15
186,SCP2
187,ARHGEF12
188,DNER
189,ITGA6
190,TNFRSF10C
191,PAPPA
192,CDH3
193,LYN
194,CD5
195,HBEGF
196,APP
197,DAG1
198,TIMD4
199,CST3
200,ATP5IF1
201,HSPG2
202,MPI
203,MEGF10
204,BCR
205,DPT
206,SULT1A1
207,GFRA3
208,CD99
209,CCL16
210,COL4A1
211,CCL15
212,ANGPTL3
213,TREM2
214,NECTIN2
215,LCN2
216,CPA2
217,COX5B
218,SCARF1
219,PECAM1
220,PTS
221,CDON
222,ADAM23
223,IGFBP7
224,SCGB1A1
225,FAM3C
226,REG1A
227,DBNL
228,REG1B
229,TDRKH
230,TNFRSF14
231,GPC5
232,HYOU1
233,CCL11
234,ANGPTL1
235,PRSS2
236,FOLR1
237,CCL21
238,FGFBP1
239,MDK
240,PCOLCE
