,Model,Proportion,HL,Prec,Rec,F1,Jac
0,MLKNN,70_30,0.0019047619047619,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143
1,HARAM,70_30,0.0069198312236286,0.8552380952380952,0.7142857142857143,0.6076190476190476,0.6076190476190476
2,BR_MultinomialNB,70_30,0.0019047619047619,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143
3,Label Powerset GradientBooster,70_30,0.0037854128993369,0.9923934837092732,0.7161904761904762,0.7085963274198569,0.7085839598997494
4,ClassifierChain,70_30,0.0038095238095238,0.9923809523809524,0.7142857142857143,0.7123809523809523,0.7123809523809523
5,Label Powerset SVC,70_30,0.0037854128993369,0.9962040816326532,0.7161904761904762,0.7124079702803108,0.7123945578231292
6,RandomForest,70_30,0.0019047619047619,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143
7,DecisionTree,70_30,0.0019047619047619,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143
8,SVM,70_30,0.1531645569620253,0.7697936223746276,0.7523809523809524,0.5395834494592392,0.5393174318984371
9,BR_kNN,70_30,0.0019047619047619,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143
10,RakelD,70_30,0.2711754068716094,0.5110608412379036,0.7933333333333333,0.3687794907453283,0.3682034089032676
0,Deep,70_30,0.0019047618843615055,0.7142857142857143,1.0,0.7142857142857143,0.7142857142857143
