"","Split","Model","Tissue","Significant proteins","Ranking"
"111","60%-40%","BR_GaussianNB","Low tissue specificity","MFAP3",1
"112","60%-40%","BR_GaussianNB","esophagus, liver, skin 1","SDC1",1
"113","60%-40%","BR_GaussianNB","salivary gland","CCL28",1
"114","60%-40%","ClassifierChains","Low tissue specificity","PCOLCE",1
"146","60%-40%","DecisionTree","Low tissue specificity","MFAP3",1
"3","60%-40%","Deep","Low tissue specificity","ADAM15, AGRN, AIFM1, AMIGO2, ANXA11, ANXA5, APEX1, ARHGEF12, ARSB, ATP5IF1, AXIN1, BCL2L11, BCR, BGN, BOC, BSG, CALCOCO1, CASP2, CCDC80, CCL23, CCN2, CCN4, CD164, CD276, CD46, CD99, CDKN1A, CDON, CEP20, CLEC14A, CNPY4, CNST, CXCL16, DBI, DBNL, DNAJA2, DNMBP, EBAG9, EDA2R, ENAH, EPHB4, ESAM, F11R, FLT3LG, FUS, GFRA3, GLT8D2, GOPC, HMOX2, HS6ST1, HSPG2, HTRA2, IGF1R, IGFBP4, IGFBP7, IL10RB, IL15RA, IL4R, INPPL1, ITGA6, ITGAV, KIFBP, KRT18, LAMA4, LGALS1, LGALS8, LTBP3, LTBR, LY96, MAGED1, MANF, MAP4K5, MAVS, MCAM, MESD, MFAP3, MGLL, MITD1, MPI, MZT1, NADK, NBL1, NCK2, NECTIN2, PCOLCE, PDGFB, PDP1, PMVK, POLR2F, PPIB, PTPRM, PTPRS, PTS, RGMB, RHOC, RNF41, SCAMP3, SCARB2, SELP, SERPINB6, SESTD1, SLIT2, SMAD5, SMOC2, SNAP23, SNAP29, SPINT2, STX4, STX6, STX8, STXBP3, TARBP2, TBC1D23, TGFB1, THBS2, TIA1, TIE1, TIMP3, TJAP1, TNFRSF10A, TNFRSF10B, TNFRSF12A, TNFRSF14, TNFRSF1A, TRIM5, TXNDC5, USP8, UXS1, VAMP5, VASN",130
"10","60%-40%","Deep","lymphoid tissue","APBB1IP, C1QA, CD160, CD163, CD5, CLEC10A, CXCL10, CXCL9, FCER2, FCRL3, FCRL5, FEN1, GZMA, HAVCR2, NCR1, PDCD1, SIT1, TNFRSF1B, TNFRSF4, TNFRSF9, TNFSF13B",21
"1","60%-40%","Deep","brain","ADAM22, APLP1, CST3, ERBIN, FUT8, ICAM5, IGSF8, MEGF10, MOG, NCS1, NDRG1, NEFL, NTproBNP, PLXNB3, PPP1R9B, SIRPA, SORCS2, SORT1, TBCB, TGFA",20
"21","60%-40%","Deep","bone marrow, lymphoid tissue","BIN2, CD244, CD69, CTSS, FES, GNLY, GZMB, IFNG, LYN, PADI4, PTPN6, TNF, TNFRSF10C, TREML2",14
"31","60%-40%","Deep","liver","AMBP, CA5A, CCL16, CRHBP, FCN2, FETUB, IQGAP2, MGMT, PON3, SDC4, SULT2A1, TST",12
