"","Assay","OlinkID","UniProt","Panel","term","df","sumsq","meansq","statistic","p.value","Adjusted_pval","Threshold","Organ","Desc","Desc_Column"
"1","APOH","OID21072","P02749","Neurology","Timepoint",3,5.3824260200359,1.79414200667863,43.8063143806212,2.93376113319615e-12,4.31849638806473e-09,"Significant","Tissue enriched: liver","Beta-2-glycoprotein 1","Tissue_enriched_liver"
"2","PADI2","OID20467","Q9Y2J8","Inflammation","Timepoint",3,21.1394031892488,7.04646772974959,24.3100651559877,7.28111235030186e-09,5.35889868982217e-06,"Significant","Tissue enhanced: brain, skeletal muscle, tongue","Protein-arginine deiminase type-2","Tissue_enhanced_brain_skeletal_muscle_tongue"
"3","TNFRSF9","OID20985","Q07011","Neurology","Timepoint",3,17.2697687133054,5.75658957110179,18.7883623259567,1.43073423078657e-07,7.02013595905944e-05,"Significant","Tissue enriched: lymphoid tissue","Tumor necrosis factor receptor superfamily member 9","Tissue_enriched_lymphoid_tissue"
"4","IFNL1","OID20795","Q8IU54","Neurology","Timepoint",3,30.717481446267,10.239160482089,16.5010071650068,5.73119159398332e-07,0.000210907850658586,"Significant","Not detected","Interferon lambda-1","Not_detected"
"5","VAMP5","OID20071","O95183","Cardiometabolic","Timepoint",3,14.8458088458516,4.94860294861719,15.2741378542834,1.26149409733104e-06,0.000371383862254258,"Significant","Low tissue specificity","Vesicle-associated membrane protein 5","Low_tissue_specificity"
"6","TNFRSF4","OID20653","P43489","Inflammation","Timepoint",3,12.1961388086913,4.06537960289709,14.7344835414731,1.80417888336015e-06,0.000379393045186592,"Significant","Tissue enhanced: lymphoid tissue","Tumor necrosis factor receptor superfamily member 4","Tissue_enhanced_lymphoid_tissue"
"7","TNFSF13B","OID20272","Q9Y275","Cardiometabolic","Timepoint",3,12.653971354596,4.217990451532,14.8043857240806,1.72180398143415e-06,0.000379393045186592,"Significant","Tissue enhanced: lymphoid tissue","Tumor necrosis factor ligand superfamily member 13B","Tissue_enhanced_lymphoid_tissue"
"8","NTproBNP","OID20125","NTproBNP","Cardiometabolic","Timepoint",3,45.3169734949314,15.1056578316438,14.372158653133,2.30300426024084e-06,0.000423752783884314,"Significant","Tissue enhanced: brain","N-terminal prohormone of brain natriuretic peptide","Tissue_enhanced_brain"
"9","DPP10","OID20527","Q8N608","Inflammation","Timepoint",3,9.63846559093866,3.21282186364622,14.029844913629,2.90892814081233e-06,0.000475771358141749,"Significant","Tissue enhanced: adrenal gland, brain, pancreas","Inactive dipeptidyl peptidase 10","Tissue_enhanced_adrenal_gland_brain_pancreas"
"10","CD160","OID20647","O95971","Inflammation","Timepoint",3,6.55402986644442,2.18467662214814,13.7782223151476,3.46024184645767e-06,0.000509347599798569,"Significant","Tissue enhanced: lymphoid tissue","CD160 antigen","Tissue_enhanced_lymphoid_tissue"
"11","NPPB","OID20049","P16860","Cardiometabolic","Timepoint",3,37.6794085649444,12.5598028549815,13.4990585969234,4.20290330939375e-06,0.00056242487922069,"Significant","Tissue enriched: heart muscle","Natriuretic peptides B","Tissue_enriched_heart_muscle"
"12","CD99","OID21110","P14209","Neurology","Timepoint",3,6.70127283911295,2.23375761303765,13.1499563876183,5.37509740813907e-06,0.00064449783581985,"Significant","Low tissue specificity","CD99 antigen","Low_tissue_specificity"
"13","IFNG","OID20495","P01579","Inflammation","Timepoint",3,104.365929014423,34.7886430048077,13.0693387190091,5.69189664786552e-06,0.00064449783581985,"Significant","Group enriched: bone marrow, lymphoid tissue","Interferon gamma","Group_enriched_bone_marrow_lymphoid_tissue"
"14","ITGA11","OID20581","Q9UKX5","Inflammation","Timepoint",3,7.22406214780475,2.40802071593492,12.7308006868671,7.25314904061547e-06,0.000762616813413283,"Significant","Tissue enhanced: cervix, endometrium 1, smooth muscle","Integrin alpha-11","Tissue_enhanced_cervix_endometrium_1_smooth_muscle"
"15","ANGPTL1","OID20211","O95841","Cardiometabolic","Timepoint",3,9.18999275571269,3.0633309185709,12.4033688181123,9.1969027292244e-06,0.000847231948725245,"Significant","Tissue enhanced: placenta","Angiopoietin-related protein 1","Tissue_enhanced_placenta"
"16","CXCL10","OID20697","P02778","Inflammation","Timepoint",3,32.8183550656086,10.9394516885362,12.318617442857,9.78460810348448e-06,0.000847231948725245,"Significant","Tissue enhanced: lymphoid tissue","C-X-C motif chemokine 10","Tissue_enhanced_lymphoid_tissue"
"17","SPINT2","OID20720","O43291","Inflammation","Timepoint",3,4.3939148232325,1.46463827441083,12.3189494761389,9.7822300022402e-06,0.000847231948725245,"Significant","Low tissue specificity","Kunitz-type protease inhibitor 2","Low_tissue_specificity"
"18","PDCD1","OID21396","Q15116","Oncology","Timepoint",3,6.47832753395787,2.15944251131929,12.0706695220617,1.17423699168808e-05,0.000960264917647137,"Significant","Tissue enhanced: lymphoid tissue","Programmed cell death protein 1","Tissue_enhanced_lymphoid_tissue"
"19","PCOLCE","OID20384","Q15113","Cardiometabolic","Timepoint",3,9.23499892065768,3.07833297355256,11.5178431602584,1.77483189286156e-05,0.00130627627314611,"Significant","Low tissue specificity","Procollagen C-endopeptidase enhancer 1","Low_tissue_specificity"
"20","PIK3IP1","OID21094","Q96FE7","Neurology","Timepoint",3,8.09436489551633,2.69812163183878,11.5700624393763,1.70625296571012e-05,0.00130627627314611,"Significant","Low tissue specificity","Phosphoinositide-3-kinase-interacting protein 1","Low_tissue_specificity"
