"","Age","BMI","Significant.Protein.elevation","Mode"
"1","20-34yrs","underweight",0,"Train"
"2","20-34yrs","underweight",0,"Validation"
"3","20-34yrs","normal",0,"Train"
"4","20-34yrs","normal",0,"Validation"
"5","20-34yrs","overweight",5,"Train"
"6","20-34yrs","overweight",0,"Validation"
"7","20-34yrs","obese",20,"Train"
"8","20-34yrs","obese",0,"Validation"
"9","20-34yrs","severely obese",2,"Train"
"10","20-34yrs","severely obese",0,"Validation"
"11","35-49yrs","underweight",0,"Train"
"12","35-49yrs","underweight",0,"Validation"
"13","35-49yrs","normal",16,"Train"
"14","35-49yrs","normal",0,"Validation"
"15","35-49yrs","overweight",440,"Train"
"16","35-49yrs","overweight",0,"Validation"
"17","35-49yrs","obese",9,"Train"
"18","35-49yrs","obese",0,"Validation"
"19","35-49yrs","severely obese",0,"Train"
"20","35-49yrs","severely obese",0,"Validation"
"21","50-64yrs","underweight",41,"Train"
"22","50-64yrs","underweight",0,"Validation"
"23","50-64yrs","normal",181,"Train"
"24","50-64yrs","normal",0,"Validation"
"25","50-64yrs","overweight",271,"Train"
"26","50-64yrs","overweight",0,"Validation"
"27","50-64yrs","obese",0,"Train"
"28","50-64yrs","obese",0,"Validation"
"29","50-64yrs","severely obese",0,"Train"
"30","50-64yrs","severely obese",0,"Validation"
"31","65-79yrs","underweight",8,"Train"
"32","65-79yrs","underweight",0,"Validation"
"33","65-79yrs","normal",760,"Train"
"34","65-79yrs","normal",0,"Validation"
"35","65-79yrs","overweight",0,"Train"
"36","65-79yrs","overweight",0,"Validation"
"37","65-79yrs","obese",0,"Train"
"38","65-79yrs","obese",0,"Validation"
"39","65-79yrs","severely obese",0,"Train"
"40","65-79yrs","severely obese",0,"Validation"
"41","80+yrs","underweight",0,"Train"
"42","80+yrs","underweight",0,"Validation"
"43","80+yrs","normal",0,"Train"
"44","80+yrs","normal",0,"Validation"
"45","80+yrs","overweight",0,"Train"
"46","80+yrs","overweight",0,"Validation"
"47","80+yrs","obese",0,"Train"
"48","80+yrs","obese",0,"Validation"
"49","80+yrs","severely obese",0,"Train"
"50","80+yrs","severely obese",0,"Validation"
