UniProt ID;Gene;Protein Name;Panel;Tissue Specificity
P05231;IL6;Interleukin-6;Olink Explore Cardiometabolic, Olink Explore Inflammation, Olink Explore Neurology, Olink Explore Oncology, Olink Target 96 Inflammation, Olink Target 96 Cardiovascular II, Olink Target 96 Oncology II, Olink Target 96 Immuno-Oncology, Olink Target 96 Immune Response, Olink Target 48 Cytokine;Tissue enhanced: urinary bladder
P01375;TNF;Tumor necrosis factor;Olink Explore Cardiometabolic, Olink Explore Inflammation, Olink Explore Neurology, Olink Explore Oncology, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine;Tissue enhanced: bone marrow, lymphoid tissue
P10145;CXCL8;Interleukin-8;Olink Explore Cardiometabolic, Olink Explore Inflammation, Olink Explore Neurology, Olink Explore Oncology, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine;Tissue enriched: bone marrow
P10147;CCL3;C-C motif chemokine 3;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine;Tissue enhanced: bone marrow, lung, lymphoid tissue
P13500;CCL2;C-C motif chemokine 2;Olink Explore Neurology, Olink Target 96 Inflammation, Olink Target 96 Cardiovascular III, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine;Tissue enhanced: urinary bladder
P14210;HGF;Hepatocyte growth factor;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Oncology II, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine;Tissue enriched: placenta
P15692;VEGFA;Vascular endothelial growth factor A;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Oncology II, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine;Low tissue specificity
P22301;IL10;Interleukin-10;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 96 Immune Response, Olink Target 48 Cytokine;Tissue enhanced: adipose tissue, lymphoid tissue
P29460;IL12B;Interleukin-12 subunit beta;Olink Explore Inflammation, Olink Explore Oncology, Olink Target 96 Inflammation, Olink Target 96 Neurology, Olink Target 96 Immuno-Oncology;Tissue enhanced: lymphoid tissue
P50591;TNFSF10;Tumor necrosis factor ligand superfamily member 10;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Oncology II, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine;Low tissue specificity
